SourceFile,CreateDate,Author,Creator,CreatorTool,Producer
2004_Annual_Report.pdf,2005:05:10 15:46:10Z,,,,Acrobat Distiller 6.0.1 for Macintosh
2005_Proxy_Statement.pdf,2005:05:09 15:17:14-04:00,JMITCHELL,JMITCHELL,,Acrobat Distiller 5.0 (Windows)
2007_Proxy_Statement.pdf,2007:05:17 14:35:05Z,JMITCHELL,JMITCHELL,,Acrobat Distiller 5.0.5 (Windows)
2008-05-08_Dollar_Tree_Reports_First_Quarter_Sales_of_1_051_213.pdf,2024:03:11 11:51:31-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2008-05-28_Dollar_Tree_Inc_Reports_First_Quarter_Net_212.pdf,2024:03:11 11:51:30-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2008-08-27_Dollar_Tree_Inc_Reports_27_3_Increase_in_Earnings__210.pdf,2024:03:11 11:51:29-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2008-11-06_Dollar_Tree_Third_Quarter_Sales_Increase_11_6__208.pdf,2024:03:11 11:51:27-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2008-11-25_Dollar_Tree_Inc_Reports_Third_Quarter_Net_207.pdf,2024:03:11 11:51:27-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2009-02-05_Dollar_Tree_Reports_Fourth_Quarter_2008_Sales_of_206.pdf,2024:03:11 11:51:26-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2009-02-25_Dollar_Tree_Inc_Reports_Record_Earnings_Per_205.pdf,2024:03:11 11:51:25-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2009-05-07_Dollar_Tree_Reports_First_Quarter_Comparable_204.pdf,2024:03:11 11:51:25-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2009-08-06_CORRECTING_and_REPLACING_Dollar_Tree_Inc_Reports_202.pdf,2024:03:11 11:51:23-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2009-11-05_Dollar_Tree_Third_Quarter_Comparable_Store_Sales_198.pdf,2024:03:11 11:51:21-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2009-11-24_Dollar_Tree_Inc_Reports_Record_Third_Quarter_197.pdf,2024:03:11 11:51:20-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2010-01-20_Dollar_Tree_Inc_Appoints_Conrad_M_Hall_as_a_New_196.pdf,2024:03:11 11:51:20-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2010-02-04_Dollar_Tree_Reports_Fourth_Quarter_2009_Sales_of_195.pdf,2024:03:11 11:51:19-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2010-05-20_Dollar_Tree_Inc_Reports_First_Quarter_191.pdf,2024:03:11 11:51:16-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2010-05-26_Dollar_Tree_Inc_Announces_3_for_2_Stock_190.pdf,2024:03:11 11:51:16-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
2010-06-21_Dollar_Tree_Inc_Board_Authorizes_500_Million_189.pdf,2024:03:11 11:51:15-04:00,,wkhtmltopdf 0.12.5,,Qt 4.8.7
