SourceFile,CreateDate,Author,Creator,CreatorTool,Producer
2017EtsyImpactUpdate.pdf,2019:03:19 12:16:42Z,,Adobe InDesign CC 14.0 (Macintosh),Adobe InDesign CC 14.0 (Macintosh),Adobe PDF Library 15.0
2017PWCAttestation.pdf,2018:08:07 03:43:36Z,,,,Mac OS X 10.12.6 Quartz PDFContext
2018_recsys_diane.pdf,,,,,
2018_sigir_liang.pdf,,,,,
2019HolidayTrendsDE.pdf?ref=podcasttranscript,2019:08:28 17:15:18-04:00,,Adobe InDesign 14.0 (Macintosh),Adobe InDesign 14.0 (Macintosh),Adobe PDF Library 15.0
2019HolidayTrendsES.pdf?ref=podcasttranscript,2019:08:28 17:13:09-04:00,,Adobe InDesign 14.0 (Macintosh),Adobe InDesign 14.0 (Macintosh),Adobe PDF Library 15.0
2019HolidayTrends.pdf,2019:08:14 15:44:02-04:00,,Adobe InDesign 14.0 (Macintosh),Adobe InDesign 14.0 (Macintosh),Adobe PDF Library 15.0
2019HolidayTrendsUK.pdf,2019:08:28 17:10:42-04:00,,Adobe InDesign 14.0 (Macintosh),Adobe InDesign 14.0 (Macintosh),Adobe PDF Library 15.0
2019_kdd_xuan.pdf,,,,,
2019SpringSummerTrends.pdf,2019:03:25 18:25:35-04:00,,Adobe InDesign CC 14.0 (Macintosh),Adobe InDesign CC 14.0 (Macintosh),Adobe PDF Library 15.0
2019ValentineTrends.pdf,2019:01:09 13:29:45-05:00,,Adobe InDesign CC 14.0 (Macintosh),Adobe InDesign CC 14.0 (Macintosh),Adobe PDF Library 15.0
2019_wsdm_dapa_xiaoting.pdf,,,,,
2019_wsdm_phyllis.pdf,,,,,
2020-Integrated-Annual-Report.pdf,,,,,
2020_wsdm_jianling.pdf,,,,,
2020_WWW_ECNLP2_xiaoting.pdf,,,,,
2020_www_mehrab.pdf,,,,,
2021_WWW_bandits.pdf,,,,,
2021_www_perso_poster.pdf,,,,,
2Q15_Earnings_PR_FINAL.pdf,2015:08:04 17:58:54Z,,Word,Word,Acrobat PDFMaker 15 for Word
Articulating%20Value_DE.pdf,2015:07:29 21:51:59Z,,Word,,Mac OS X 10.9.5 Quartz PDFContext
Articulating%20Value.pdf,2015:07:30 14:11:28Z,,Word,,Mac OS X 10.9.5 Quartz PDFContext
beige-menu.pdf,2012:10:22 14:04:45Z,,Adobe InDesign CS4 (6.0.6),,Mac OS X 10.8.1 Quartz PDFContext
Butter-Cake-Ingredients-According-to-Cake-Size.pdf,2012:05:08 16:23:41Z,Aleksa Brown,Word,,Mac OS X 10.7.3 Quartz PDFContext
CD_EMC_Kennesaw_Celebration.pdf,2016:11:30 14:20:34-05:00,,Canon iR-ADV C5255  PDF,Canon iR-ADV C5255  PDF,Adobe PSL 1.2e for Canon
CD_EMC_Memphis_Celebration.pdf,2016:11:30 14:20:02-05:00,,Canon iR-ADV C5255  PDF,Canon iR-ADV C5255  PDF,Adobe PSL 1.2e for Canon
CD_EMC_Talent_Celebration.pdf,2017:02:28 22:04:50Z,,Preview,,Mac OS X 10.11.6 Quartz PDFContext
CD_Signed_EMC_Knoxville_Celebration.pdf,2016:09:13 14:57:29-05:00,,Canon iR-ADV C5255  PDF,Canon iR-ADV C5255  PDF,Adobe PSL 1.2e for Canon
"Comment%20of%20Etsy,%20et%20al%20in%20512%20Study.pdf",2016:04:01 17:49:55Z,,Preview,,Mac OS X 10.11.3 Quartz PDFContext
Craft%20Party_DIY-download_DE.pdf,2015:05:15 11:12:21-04:00,,Adobe InDesign CC 2014 (Macintosh),Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0
CraftParty2013DigitalKit.pdf,2013:05:21 11:38-04:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Craft_Party_2015_SPONSORSHIP_FR.pdf,2015:04:22 09:11:47-04:00,,Adobe InDesign CC 2014 (Macintosh),Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0
DebriefingFacilitationGuide.pdf,2016:11:16 11:18:42-05:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
DrawstringBulletin.pdf,2013:10:30 22:51:56-04:00,Carolyn Carlin,Carolyn Carlin,Acrobat PDFMaker 10.1 for Word,Adobe PDF Library 10.0
Early2020SellerTrends.pdf,2019:12:18 14:12:40-05:00,,Adobe InDesign 15.0 (Macintosh),Adobe InDesign 15.0 (Macintosh),Adobe PDF Library 15.0
Early2020SellerTrendsPL.pdf?ref=SH,2020:01:03 12:11:53-05:00,,Adobe InDesign 15.0 (Macintosh),Adobe InDesign 15.0 (Macintosh),Adobe PDF Library 15.0
Early2020SellerTrendsUK.pdf,2020:01:03 12:31:33-05:00,,Adobe InDesign 15.0 (Macintosh),Adobe InDesign 15.0 (Macintosh),Adobe PDF Library 15.0
EMC_Pittsburgh_Celebration_CD.pdf,2016:11:16 13:40:17-05:00,,Canon iR-ADV C5255  PDF,Canon iR-ADV C5255  PDF,Adobe PSL 1.2e for Canon
ETSY-12-31-2018-10K-_-Impact-Section-(1).pdf,,,,,
ETSY-12.31.2019-10K_Impact.pdf,,,,,
Etsy_2015_Gift_Tags.pdf,2015:10:22 22:59:32+02:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_2018_Transparency_Report.pdf,2019:04:29 09:26:34+01:00,,Adobe InDesign CC 14.0 (Macintosh),Adobe InDesign CC 14.0 (Macintosh),Adobe PDF Library 15.0
Etsy_2019_Transparency_Report.pdf,2020:05:07 16:03:29+01:00,,Adobe InDesign 15.0 (Macintosh),Adobe InDesign 15.0 (Macintosh),Adobe PDF Library 15.0
Etsy%20Submission_Online%20Platform%20Inquiry.pdf,2015:10:30 18:33:39-04:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy-3Q-2021-Earnings-Presentation.pdf,,,,,
Etsy_ACalltoActionReport_2014.pdf,2014:06:17 17:56:36-04:00,,Adobe InDesign CC (Macintosh),Adobe InDesign CC (Macintosh),Adobe PDF Library 11.0
Etsy-Announces-Closing-of-Initial-Public-Offering.pdf,2015:04:21 20:16:37Z,,Word,,Mac OS X 10.9.5 Quartz PDFContext
Etsy_Announces_Pricing_of_Initial_Public_Offering.pdf,2015:04:15 21:49:26Z,,Word,,Mac OS X 10.9.5 Quartz PDFContext
Etsy_DE_2017_SellerCensus.pdf,2017:05:18 10:35:08-04:00,,Adobe InDesign CC 2017 (Macintosh),Adobe InDesign CC 2017 (Macintosh),Adobe PDF Library 15.0
Etsy_EconomicSecurity_2016.pdf,2016:09:23 13:05:58-04:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_GlobalSellerCensus_4.2019.pdf,2019:05:02 11:12:23-04:00,,Adobe InDesign 14.0 (Macintosh),Adobe InDesign 14.0 (Macintosh),Adobe PDF Library 15.0
Etsy_House_seller_newspaper_Dec_2014.pdf,2014:12:10 11:23:47+01:00,,Adobe InDesign CS6 (Macintosh),Adobe InDesign CS6 (Macintosh),Adobe PDF Library 10.0.1
Etsy-Inc-Reports-First-Quarter-2015-Financial-Results.pdf,2015:05:19 15:30:14-04:00,Patrick Malone,Microsoft® Word 2010,,Microsoft® Word 2010
Etsy_Inc_Reports_Third_Quarter_2015_Financial_Results.pdf,2015:11:03 21:12:02Z,,Word,,Mac OS X 10.10.4 Quartz PDFContext
Etsy_IPEC_Comment.pdf,2016:01:25 17:26:27Z,,Word,,Mac OS X 10.11.2 Quartz PDFContext
ETSY-LOOKBOOK-AUTUMN-WINTER-2015_CA.pdf,2015:08:20 13:52:16+02:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
ETSY-LOOKBOOK-AUTUMN-WINTER-2015_v2.pdf,2015:07:02 11:30:16+02:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
EtsyManufacturing-Glossary.pdf,2016:03:04 11:57:25-05:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_ManufacturingOpportunitiesReport_2014.pdf,2015:06:02 17:36:19-04:00,,Adobe InDesign CC 2014 (Macintosh),Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0
Etsy_NewFaceofCreativeEntrepreneurship_2015.pdf,2015:07:20 13:27:16-04:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_PATENT_Act.pdf,2015:05:04 20:54:54Z,,Word,,Mac OS X 10.10.2 Quartz PDFContext
Etsy_RedefiningEntrepreneurshipReport_2013.pdf,2013:10:31 20:38:52Z,,Adobe InDesign CS6 (Macintosh),,Mac OS X 10.7.5 Quartz PDFContext
Etsy_Research_Fellowship.pdf,2016:09:26 13:41:11-04:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_RSABreakingtheMouldReport_2014.pdf,2014:09:29 14:14:39+01:00,,Adobe InDesign CC 2014 (Macintosh),Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0
Etsy_Seller_Census_CA_FR.pdf,2015:12:07 16:33:59-05:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_Seller_Census_CA.pdf,2015:12:07 16:34:25-05:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_Seller_Census_FR.pdf,2015:11:23 17:18:25-05:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_Seller_Census_UK.pdf,2016:02:10 12:20:03+01:00,,Adobe InDesign CC 2015 (Macintosh),Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0
Etsy_SichtbarWerden_Checkliste.pdf,2017:11:29 16:30:36+01:00,,Adobe InDesign CC 13.0 (Macintosh),Adobe InDesign CC 13.0 (Macintosh),Adobe PDF Library 15.0
Etsy_to_Announce_Second_Quarter_2015_Financial_Results_on_August_4_2015.pdf,2015:08:03 19:04:58Z,,Word,,Mac OS X 10.10.4 Quartz PDFContext
Etsy_TransparencyReport_2014.pdf,2015:07:13 16:21:34-04:00,,Adobe InDesign CC 2014 (Macintosh),Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0
Etsy_UK_2017_SellerCensus.pdf,2017:04:21 11:24:31-04:00,,Adobe InDesign CC 2017 (Macintosh),Adobe InDesign CC 2017 (Macintosh),Adobe PDF Library 15.0
Etsy_US_2017_SellerCensus.pdf,2017:03:24 11:47:03-04:00,,Adobe InDesign CC 2017 (Macintosh),Adobe InDesign CC 2017 (Macintosh),Adobe PDF Library 15.0
Etsy_Values_ImpactReport_2013.pdf,2014:03:13 19:50:36Z,,Adobe InDesign CC (Macintosh),,Mac OS X 10.6.8 Quartz PDFContext
