SourceFile,CreateDate,Author,Creator,CreatorTool,Producer
01benefits.pdf,2009:05:06 17:20:25-07:00,,Adobe InDesign CS3 (5.0.3),Adobe InDesign CS3 (5.0.3),Adobe PDF Library 8.0
12215648_AA00_201208281551.pdf,2012:08:28 15:51:20,Administrator,Microsoft® Office Word 2007,,Microsoft® Office Word 2007
12797.1.0.pdf,2008:08:07 12:59:02-07:00,,Adobe InDesign CS3 (5.0.2),Adobe InDesign CS3 (5.0.2),Adobe PDF Library 8.0
12971.1.0.pdf,2005:01:21 18:03:39Z,,"
            ",FrameMaker 6.0,Acrobat Distiller 4.05 for Macintosh
13162.1.0.pdf,2003:07:10 15:51:02Z,,"
            ",FrameMaker 6.0,Acrobat Distiller 5.00 for Macintosh
13360.1.0.pdf,2006:04:06 11:57:34-07:00,,Adobe Acrobat 7.0,Adobe Acrobat 7.0,Acrobat Distiller 4.0 for Macintosh
13483.1.0.pdf,2006:02:09 11:12:30Z,Lisa,Lisa,FrameMaker 7.0,Acrobat Distiller 6.0 (Windows)
14186.1.0.pdf,2008:11:26 10:02:12-08:00,,,,Acrobat Distiller 8.1.0 (Macintosh)
14900.1.0.pdf,,,,,
200a620-003174-003403gs-amr.pdf,2010:09:29 14:52:54-06:00,,Adobe Illustrator CS4,Adobe Illustrator CS4,Adobe PDF library 9.00
24496.1.0.pdf,2009:02:18 13:26:26+01:00,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0
24hourflexcasestudy.pdf,2016:01:28 17:00:06-05:00,,Adobe Illustrator CC 2015 (Macintosh),Adobe Illustrator CC 2015 (Macintosh),Adobe PDF library 15.00
25173.1.0.pdf,2009:09:18 13:27:16-06:00,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0
25174.1.0.pdf,2009:09:21 09:21:02-06:00,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0
25618.1.0.pdf,2007:05:04 19:36:43-07:00,,Adobe InDesign CS2 (4.0.3),Adobe InDesign CS2 (4.0.3),Adobe PDF Library 7.0
26651.1.0.pdf,2010:01:22 13:49:38-08:00,yto,yto,MetroFi 170vi.pdf,ScanSoft PDF Create! 5
26751.1.0.pdf,2010:01:22 15:58:43-08:00,yto,yto,SuperFi 4vi.pdf,ScanSoft PDF Create! 5
28242.1.0.pdf,2009:12:01 11:02:03-08:00,rewing,rewing,Microsoft Word - Ultimate Ears SuperFi 5 _EB_ reference sheet.doc,ScanSoft PDF Create! 5
41ed94f8-8052-424f-8b21-f82ef33d536d.pdf,2023:10:12 14:38:03+02:00,Nick Gnade - 10XCREW,Nick Gnade - 10XCREW,Microsoft® Word voor Microsoft 365,Microsoft® Word voor Microsoft 365
904368_CE.pdf,2002:09:03 09:59:44,asafdari,"Microsoft Word ",,Acrobat PDFWriter 4.05 for Windows
910-000150_CE.pdf,2007:05:02 13:13:40Z,pbornel,pbornel,,Acrobat Distiller 5.0 (Windows)
910-000298_FCC.pdf,2007:05:30 09:08:01-07:00,amy.cheng,amy.cheng,PScript5.dll Version 5.2,Acrobat Distiller 7.0.5 (Windows)
