SourceFile,CreateDate,Author,Creator,CreatorTool,Producer
New%20Supplier%20Requirements%20on%20website%20for%20Potential%20Suppliers.pdf,2022:11:09 14:00:10-06:00,oreilly,Microsoft® Word 2013,,Microsoft® Word 2013
news_34.pdf,2005:09:01 16:49:40-05:00,rjohnso2,rjohnso2,PScript5.dll Version 5.2,Acrobat Distiller 6.0 (Windows)
news_38.pdf,2006:03:28 17:06:51Z,Falk Harrison Creative,Falk Harrison Creative,QuarkXPress(R) 7.0,Acrobat Distiller 7.0.5 for Macintosh
news_44.pdf,2007:03:22 13:23:52-05:00,Falk Harrison Creative,Falk Harrison Creative,,Acrobat Distiller 7.0.5 for Macintosh
news_49.pdf,,,,,GNU Ghostscript 6.52
news_4.pdf,,,,,GNU Ghostscript 6.52
news_64.pdf,2008:03:13 14:11:07-05:00,,,,
news_67.pdf,,,,,GNU Ghostscript 6.52
news_84.pdf,2008:11:05 17:50:30,aedwards5,PScript5.dll Version 5.2.2,,GPL Ghostscript 8.15
news_97.pdf,2009:04:22 13:29:16,mmerz,PScript5.dll Version 5.2.2,,GPL Ghostscript 8.15
"O'Reilly%20Automotive,%20Inc.%202021%2010-K.pdf",2022:02:28 12:16:53-06:00,"Kumar, Vijay","Kumar, Vijay",Acrobat PDFMaker 21 for Word,Adobe PDF Library 21.11.71
"O'Reilly%20Automotive,%20Inc.%206000th%20Store%20Press%20Release.pdf",2023:02:22 14:25:35-06:00,Shelby Heger,Shelby Heger,Acrobat PDFMaker 22 for Word,Adobe PDF Library 22.3.98
"O'Reilly%20Automotive,%20Inc.%20Executive%20Leadership%20Promotions%20Release.pdf",2023:01:06 12:57:49-06:00,,,Acrobat PDFMaker 22 for Word,Adobe PDF Library 22.3.58
"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202022%2010-Q.pdf",2022:05:05 17:02:55-05:00,,,Acrobat PDFMaker 22 for Word,Adobe PDF Library 22.1.149
"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202023%20Earnings%20Date%20Release.pdf",2023:03:29 12:52:06-05:00,,,Acrobat PDFMaker 23 for Word,Adobe PDF Library 23.1.96
"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202024%20Earnings%20Date%20Release.pdf",2024:03:25 17:19:57-05:00,,,Acrobat PDFMaker 24 for Word,Adobe PDF Library 24.1.124
"O'Reilly%20Automotive,%20Inc.%20Fourth%20Quarter%20and%20Full-Year%202020%20Earnings%20Release.pdf",2021:02:09 16:18:59-06:00,,,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.13.106
"O'Reilly%20Automotive,%20Inc.%20Fourth%20Quarter%20and%20Full-Year%202022%20Earnings%20Release.pdf",2023:02:08 08:56:41-06:00,,,Acrobat PDFMaker 22 for Word,Adobe PDF Library 22.3.90
"O'Reilly%20Automotive,%20Inc.%20Second%20Quarter%202023%2010-Q.pdf",2023:08:08 09:25:30-05:00,,,Acrobat PDFMaker 23 for Word,Adobe PDF Library 23.3.20
"O'Reilly%20Automotive,%20Inc.%20Vast-Auto%20Acquisition.pdf",2023:12:18 13:21:52-06:00,,,Acrobat PDFMaker 23 for Word,Adobe PDF Library 23.6.156
O'Reilly%20Statement.pdf,2023:09:22 10:38:36-05:00,,,,
orly_pdf_106.pdf,2013:08:14 13:06:03,kthurojr,Microsoft® Office PowerPoint® 2007,,Microsoft® Office PowerPoint® 2007
orly_pdf_118.pdf,2013:11:20 09:42:18-06:00,O'Reilly,Microsoft® Office Word 2007,,Microsoft® Office Word 2007
orly_pdf_189.pdf,2016:08:05 18:02:09-05:00,kthurojr,kthurojr,Acrobat PDFMaker 11 for PowerPoint,Adobe PDF Library 11.0
orly_pdf_203.pdf,2017:05:81 01:70:00,,,,WebFilings
orly_pdf_20.pdf,2010:08:27 11:45:53,aedwards5,Microsoft® Office PowerPoint® 2007,,Microsoft® Office PowerPoint® 2007
orly_pdf_214.pdf,2017:08:06 15:22:16-05:00,kthurojr,kthurojr,Acrobat PDFMaker 11 for PowerPoint,Adobe PDF Library 11.0
orly_pdf_29.pdf,2011:09:14 15:33:34,GKAY,Microsoft® Office Word 2007,,Microsoft® Office Word 2007
orly_pdf_2.pdf,2011:08:29 18:06:41,kthurojr,Microsoft® Office PowerPoint® 2007,,Microsoft® Office PowerPoint® 2007
orly_pdf_40.pdf,2011:01:10 09:14:04,,Microsoft® Office Word 2007,,Microsoft® Office Word 2007
orly_pdf_84.pdf,2012:08:27 10:52:16,kthurojr,Microsoft® Office PowerPoint® 2007,,Microsoft® Office PowerPoint® 2007
ORLY_Transcript_2017-08-08.pdf,2017:08:22 12:21:10Z,Thomson Reuters StreetEvents,Thomson Reuters StreetEvents,Unknown,XEP 4.7 build 20060908; modified using iTextSharp 4.1.6 by 1T3XT
ORLY_Transcript_2023-02-09.pdf,2023:02:09 21:29:34,Refinitiv StreetEvents,Unknown,,XEP 4.7 build 20060908
ORLY_Transcript_2024-02-08.pdf,2024:02:08 18:30:40,Refinitiv StreetEvents,Unknown,,XEP 4.7 build 20060908
PuertoRico%20News%20Release%20for%20Island%20English%20FINAL.pdf,2023:05:21 09:28:18-05:00,,,,
Supplier%20Requirements%20on%20website%20for%20Potential%20Suppliers.pdf,2021:12:14 10:17:21,jbeeman2,PScript5.dll Version 5.2.2,,GPL Ghostscript 8.15
