SourceFile,About,AggregationType,AnnotationUsageRights,AppleKeywords,Author,BlueMatrixColumn,BlueTRC,CMMFlags,ColorSpaceData,Comments,Company,Composite,ConnectionSpaceIlluminant,Copyright,CoverDate,CoverDisplayDate,Created,CreateDate,CreationDate,CreationDate--Text,Creator,CreatorTool,CrossmarkDomainExclusive,CrossMarkDomains,CrossMarkDomains_1_,CrossmarkMajorVersionDate,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DerivedFromVersionID,Description,Description-x-repair,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,DOI,Encryption,EndingPage,EPSprocessor,ExifToolVersion,FaceName,FamilyName,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontType,Format,GrammarlyDocumentId,GrayTRC,GreenMatrixColumn,GreenTRC,HasXFA,HistoryAction,HistoryChanged,HistoryParameters,HistorySoftwareAgent,HistoryWhen,Identifier,IEEE_Article_ID,IEEE_Issue_ID,IEEE_Publication_ID,InstanceID,ISSN,Journal_article_version,Keywords,Language,LastSaved,Library,Linearized,LineCount,Luminance,LXLf8mgiRzeQnt6Gn92MncNNnt7-lt_neGogqOndqLy939zweOo9ePmMaOmdqPnM6Tma,MajorVersionDate,ManifestLinkForm,ManifestPlacedResolutionUnit,ManifestPlacedXResolution,ManifestPlacedYResolution,ManifestReferenceDocumentID,ManifestReferenceInstanceID,Marked,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEEncoding,MIMEType,ModDate,ModifyDate,Newlines,Number,OriginalDocumentID,PageCount,PageLayout,PageMode,PageRange,PDFVersion,PostscriptName,PrimaryPlatform,Producer,ProfileBlob,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,PTEX_Fullbanner,PTEXFullbanner,PublicationName,Publisher,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,Robots,Session0020Id,Session_Id,SigningAuthority,SigningDate,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,SourceModified,StartingPage,State,Subject,TaggedPDF,Technology,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Title-x-repair,Trapped,URL,UserAccess,Username,Version,VersionID,VersionString,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Volume,Warning,WordCount,XMPToolkit,XPressPrivate
1068.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:57:28-04:00,2024:04:16 12:57:28-04:00,1068.pdf,-rw-r--r--,237 bytes,HTML,html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302 Found,,,,,,,,,,,,,,,,,
10.pdf,,,,,,0.10582 0.04944 0.58311,"(Binary data 14 bytes, use -b option to extract)","Not Embedded, Independent","RGB ",,,,0.9642 1 0.82491,,,,,2010:02:22 16:59:51-05:00,,,Adobe InDesign CS3 (5.0.4),Adobe InDesign CS3 (5.0.4),,,,,adobe:docid:indd:870b23bc-3ffc-11de-b8fe-caba9122aa77,587b0ba3-418f-11de-9d7e-f9bd10cfcd4f,,,,,,"Reflective, Glossy, Positive, Color",none,,,,.,adobe:docid:indd:587b0ba4-418f-11de-9d7e-f9bd10cfcd4f,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:57:25-04:00,2024:04:16 12:57:25-04:00,10.pdf,-rw-r--r--,5.2 MB,PDF,pdf,,application/pdf,,,0.31021 0.6564 0.16377,"(Binary data 14 bytes, use -b option to extract)",No,,,,,,,,,,uuid:f3405f75-f134-44c7-8848-70ba0acd0fc3,,,,,,,No,,,,,"ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream","Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches","800.00, 800.00, 800.00, 800.00, 800.00, 300.00, 800.00, 800.00, 304.80","800.00, 800.00, 800.00, 800.00, 800.00, 300.00, 800.00, 800.00, 304.80","uuid:EB92D25FB66FDD119F37F9496D716FB2, uuid:FB467E195B7CDE11B66DD66447D157F3, uuid:EB92D25FB66FDD119F37F9496D716FB2, uuid:EB92D25FB66FDD119F37F9496D716FB2, uuid:EB92D25FB66FDD119F37F9496D716FB2, uuid:E6CB8AF3E104DD11B6BCFEB0A7123BD5, uuid:DDFBB3EEA473DD1188B0DBDD6D72F998, uuid:EB92D25FB66FDD119F37F9496D716FB2, uuid:7106D3DB7AFCDE11921BC344E4CA73DC","uuid:EC92D25FB66FDD119F37F9496D716FB2, uuid:FC467E195B7CDE11B66DD66447D157F3, uuid:EC92D25FB66FDD119F37F9496D716FB2, uuid:EC92D25FB66FDD119F37F9496D716FB2, uuid:EC92D25FB66FDD119F37F9496D716FB2, uuid:E7CB8AF3E104DD11B6BCFEB0A7123BD5, uuid:DEFBB3EEA473DD1188B0DBDD6D72F998, uuid:EC92D25FB66FDD119F37F9496D716FB2, uuid:7206D3DB7AFCDE11921BC344E4CA73DC",,,,,,,0 0 0,0.96101 1 1.10835,2010:04:12 15:27:40-04:00,,application/pdf,,2010:04:12 15:27:40-04:00,,,,9,,,,1.6,,Microsoft Corporation,Adobe PDF Library 8.0,,Display Device Profile,Adobe Systems Inc.,"XYZ ",(c) 2003 Adobe Systems Inc.,Adobe Systems Inc.,2003:05:13 14:26:31,Custom RGB,acsp,0,2.1.0,,,,,0.54817 0.29414 0.07802,"(Binary data 14 bytes, use -b option to extract)",Perceptual,proof:pdf,,,,,,,,,,,,,,,,,,No,,JPEG,256,"(Binary data 10282 bytes, use -b option to extract)",256,,,False,,,,,,,,,,,,,,"Adobe XMP Core 4.0-c321 44.398116, Tue Aug 04 2009 14:24:39",
132.pdf,,,,,,,,,,,,,,,,,,2016:10:02 19:54:49-05:00,,,TeX,,,,,,,,,,,,,,,,,,.,,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:58:03-04:00,2024:04:16 12:58:03-04:00,132.pdf,-rw-r--r--,150 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,application/pdf,,2016:10:02 19:54:49-05:00,,,,8,,,,1.5,,,pdfTeX-1.40.15,,,,,,,,,,,,"This is pdfTeX, Version 3.14159265-2.6-1.40.15 (TeX Live 2014) kpathsea version 6.2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
187.pdf,,,,,,,,,,,,,,,,,,2022:05:07 14:27:47-05:00,,,TeX,,,,,,,,,,,,,,,,,,.,,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:58:11-04:00,2024:04:16 12:58:11-04:00,187.pdf,-rw-r--r--,470 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,application/pdf,,2022:05:07 14:27:47-05:00,,,,9,,,,1.5,,,pdfTeX-1.40.22,,,,,,,,,,,,"This is pdfTeX, Version 3.141592653-2.6-1.40.22 (TeX Live 2021) kpathsea version 6.3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
18_shadow_geometry.pdf,,,,,,,,,,,,,,,,,,1997:11:10 16:55:31,,,,,,,,,,,,,,,,,,,,,.,,,,,,12.70,,,2024:04:16 12:59:23-04:00,2024:04:16 12:58:11-04:00,2024:04:16 12:58:11-04:00,18_shadow_geometry.pdf,-rw-r--r--,1250 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,application/pdf,,2003:11:12 14:39:37-05:00,,,,17,,,,1.2,,,Acrobat Distiller Daemon 2.1 for SunOS/Solaris (SPARC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931Library.pdf,,,,,,,,,,,,,,,,,,2019:11:21 15:22:22Z,,,,Book ScanCenter 5033,,,,,,,,,,,,,,,,,.,uuid:0fcfcf45-3fd6-4ae5-83d8-fa223a1bfe85,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:57:44-04:00,2024:04:16 12:57:44-04:00,1931Library.pdf,-rw-r--r--,2.3 MB,PDF,pdf,,application/pdf,,,,,,,,,,,,,,,uuid:1ab2a93e-6cdf-4c78-937f-421cac584f50,,,,,,,Yes,,,,,,,,,,,,,,,,,,,2021:06:16 13:15:10-04:00,,application/pdf,,2021:06:16 13:15:10-04:00,,,,4,,,,1.6,,,Book ScanCenter 5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Rush Rhees Library at the University of Rochester,,,,,,,,,,,,,,,,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",
193.pdf,,,,,,,,,,,,,,,,,,2019:02:14 19:54:13-06:00,,,LaTeX with hyperref package,,,,,,,,,,,,,,,,,,.,,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:58:09-04:00,2024:04:16 12:58:09-04:00,193.pdf,-rw-r--r--,168 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,application/pdf,,2019:02:14 19:54:13-06:00,,,,7,,UseOutlines,,1.5,,,pdfTeX-1.40.15,,,,,,,,,,,,"This is pdfTeX, Version 3.14159265-2.6-1.40.15 (TeX Live 2014) kpathsea version 6.2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
2009_dearmomdad.pdf,,,,,Office of the Registrar,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)","Not Embedded, Independent","RGB ",,,,0.9642 1 0.82491,,,,,2011:04:21 14:44:53Z,,,Safari,,,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:57:44-04:00,2024:04:16 12:57:44-04:00,2009_dearmomdad.pdf,-rw-r--r--,138 kB,PDF,pdf,,,,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,No,,76.03647 80 87.12462,,,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,,application/pdf,,2011:04:21 14:44:53Z,,,,4,,,,1.3,,Microsoft Corporation,Mac OS X 10.6.7 Quartz PDFContext,,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,,,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",Perceptual,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,"Letters to Mom and Dad 2009 : Parents : Arts, Sciences, Engineering",,,,,,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,,,
2012_dearmomdad.pdf,,,,,UofR,,,,,,University of Rochester,,,,,,,2012:05:17 18:06:49-04:00,,,UofR,Acrobat PDFMaker 8.1 for PowerPoint,,,,,,,,,,,,,,,,,.,uuid:ce74e970-c5b2-457a-a3d4-ee663decd4f2,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:58:04-04:00,2024:04:16 12:58:04-04:00,2012_dearmomdad.pdf,-rw-r--r--,3.9 MB,PDF,pdf,,application/pdf,,,,,,,,,,,,,,,uuid:39225b9b-ea74-42c5-857f-ba61288e2d84,,,,,,,Yes,,,,,,,,,,,,,,,,,,,2012:05:17 18:09:54-04:00,,application/pdf,,2012:05:17 18:09:54-04:00,,,,70,SinglePage,,,1.4,,,Acrobat Distiller 8.3.1 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Dear Mom and Dad:,,,,,,,,,,,,,,,,"Adobe XMP Core 4.0-c321 44.398116, Tue Aug 04 2009 14:24:39",
2016_dearmomdad.pdf,,,,,Jenna Tomasello,,,,,,,,,,,,,2020:05:07 10:23:16-04:00,,,Jenna Tomasello,Microsoft® PowerPoint® for Microsoft 365,,,,,,,,,,,,,,,,,.,uuid:0049004D-FEE9-4A18-9F18-3C3A48756AEE,,,,,12.70,,,2024:04:16 13:07:24-04:00,2024:04:16 12:57:37-04:00,2024:04:16 12:57:37-04:00,2016_dearmomdad.pdf,-rw-r--r--,2.9 MB,PDF,pdf,,,,,,,,,,,,,,,,,uuid:0049004D-FEE9-4A18-9F18-3C3A48756AEE,,,,en-US,,,No,,,,,,,,,,,,,,,,,,,,,application/pdf,,2020:05:07 10:23:16-04:00,,,,52,,,,1.7,,,Microsoft® PowerPoint® for Microsoft 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,‘Dear Mom and Dad’,,,,,,,,,,,,,,,,3.1-701,
