SourceFile,AIBuildNumber,AIColorModel,AIColorUsage,AICreatorVersion,AINumLayers,AIRulerUnits,AITargetResolution,AppleKeywords,AToB0,AToB1,AToB2,Author,BlueMatrixColumn,BlueTRC,BoundingBox,BToA0,BToA1,BToA2,ChromaticityChannel1,ChromaticityChannel2,ChromaticityChannel3,ChromaticityChannels,ChromaticityColorant,CMMFlags,ColorSpaceData,Comments,Company,ConnectionSpaceIlluminant,ContainerVersion,CreateDate,Creator,CreatorContactInfo,CreatorSubTool,CreatorTool,CreatorVersion,Date,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,Error,ExifToolVersion,Extracted,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,For,Format,Gamut,GreenMatrixColumn,GreenTRC,GTS_PDFXConformance,GTS_PDFXVersion,HasVisibleOverprint,HasVisibleTransparency,HasXFA,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,IngredientsDocumentID,IngredientsFilePath,IngredientsInstanceID,InstanceID,Keywords,Language,Linearized,LineCount,Luminance,ManifestLinkForm,ManifestReferenceDocumentID,ManifestReferenceFilePath,ManifestReferenceInstanceID,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEEncoding,MIMEType,Modified,ModifyDate,Newlines,NPages,NumPages,OriginalDocumentID,PageCount,PageLayout,PageMode,Part,PDFVersion,Physicalheightininches,Physicalwidthininches,PlateNames,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,Robots,Sha1,Size,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugKerningChecksum,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,SourceModified,StartupProfile,Subject,SwatchColorantBlack,SwatchColorantBlue,SwatchColorantCyan,SwatchColorantGreen,SwatchColorantMagenta,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchColorantYellow,SwatchGroupName,SwatchGroupType,TaggedPDF,Technology,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,TwitterCard,TwitterDescription,TwitterImage,TwitterTitle,VersionID,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Viewport,Warning,WordCount,XMPToolkit,YandexVerification
10_questions_sellers_are_asking_about_Amazon_Business.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019:04:25 23:03:03.000Z,Adobe InDesign CC 14.0 (Macintosh),,,Adobe InDesign CC 14.0 (Macintosh),,,xmp.did:bb5cf750-d255-4d6a-8d1e-9e6cd23aaeae,xmp.iid:9c4521b0-6ac2-443a-a014-d98f2f7d04a7,xmp.did:e748a36f-03b9-4c9b-ab33-4bb89d623086,default,,,,,,,.,xmp.id:a62d21e2-c42c-4cd1-91af-3a9408e7dd95,,12.57,2020:03:09 21:21:53.921Z,2024:04:17 20:44:15-04:00,2024:04:17 20:44:16-04:00,2024:04:17 20:44:16-04:00,10_questions_sellers_are_asking_about_Amazon_Business.pdf,-rw-r--r--,6.1 MB,PDF,pdf,,,,,,,,,application/pdf,,,,PDF/X-1a:2001,PDF/X-1:2001,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 14.0 (Macintosh),2019:04:25 16:03:03.000-07:00,,,,uuid:5829f4fa-bf89-484a-a549-5910c5b4e7c0,,en-US,Yes,,,,,,,,,,,,,,,,,2020:02:20 16:55:10.000Z,,application/pdf,2020:02:20 16:55:09.680Z,2020:02:20 16:55:10.000Z,,,11,xmp.did:e748a36f-03b9-4c9b-ab33-4bb89d623086,11,,,,1.3,11.0,8.5,,,Adobe PDF Library 15.0,,,,,,,,,,,,,,proof:pdf,,2dcdd94cbdbf4f2e5171155d620e05aae6978775,6062104,1270136922,Amazon Ember,OpenType - TT,1270136922,--,,0,AmazonEmber-Light,0.000,,,,,,,,,,,,,,,,,,,,,,,AMZ219-0143 AB 10QSellers are asking about AB,Unknown (false),,,,,1,,,,,,,,"Adobe XMP Core 5.6-c148 79.163858, 2019/03/06-03:18:36        ",
19-AMZ2-0116_AB_US_Guide_to_Buying.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019:02:26 18:19:56.000Z,Adobe InDesign CC 14.0 (Macintosh),,,Adobe InDesign CC 14.0 (Macintosh),,,xmp.did:edf234fd-62d1-481b-9b2a-aa33fb500545,xmp.iid:dc209bc4-130c-4e90-b730-868bfb67a0df,xmp.did:b285f81f-479c-4bcd-b866-b74f3f7f4dea,default,,,,,,,.,xmp.id:5dc6eb3d-136f-43fe-b623-e2239f8fe756,,12.57,2020:03:09 21:21:38.695Z,2024:04:17 20:44:39-04:00,2024:04:17 20:44:39-04:00,2024:04:17 20:44:39-04:00,19-AMZ2-0116_AB_US_Guide_to_Buying.pdf,-rw-r--r--,3.8 MB,PDF,pdf,,,,,,,,,application/pdf,,,,PDF/X-1a:2001,PDF/X-1:2001,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 14.0 (Macintosh),2019:02:26 11:19:56.000-07:00,,,,uuid:54effc29-ab24-4da1-a11e-6dd5a5bfaf15,,en-US,Yes,,,,,,,,,,,,,,,,,2020:02:20 16:55:52.000Z,,application/pdf,2020:02:20 16:55:52.730Z,2020:02:20 16:55:52.000Z,,,5,xmp.did:b285f81f-479c-4bcd-b866-b74f3f7f4dea,5,,,,1.3,11.0,8.5,,,Adobe PDF Library 15.0,,,,,,,,,,,,,,proof:pdf,,b5eafa1fa2a7909159e52bc72510504f3aef1b43,3806498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-AMZ2-0116 AB US Guide to Buying ver 9,Unknown (false),,,,,1,,,,,,,,"Adobe XMP Core 5.6-c148 79.163858, 2019/03/06-03:18:36        ",
91v2W3TbWeL.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,File is empty,12.57,,2024:04:17 20:42:36-04:00,2024:04:17 20:42:36-04:00,2024:04:17 20:42:36-04:00,91v2W3TbWeL.pdf,-rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630-Ways-to-Save-Infographic-CA-fr-r2.pdf,778,RGB,Color,26.0.3,3,Points,800,,,,,,,,-16 -3409 872 269,,,,,,,,,,,,,,12,2022:03:01 10:51:04-08:00,Adobe Illustrator(R) 24.0,,Adobe Illustrator,Adobe Illustrator 26.0 (Macintosh),26,,xmp.did:e9f2ef2d-6204-4c4d-ade2-725dccd9e08d,xmp.iid:55f9b5dd-7eba-4b68-a4bf-6439b2286dd4,uuid:5D20892493BFDB11914A8590D31508C8,default,,,,,,,.,xmp.did:ba36d0a7-86dc-4ba6-8d83-370b31d00391,,12.57,,2024:04:17 20:44:55-04:00,2024:04:17 20:44:55-04:00,2024:04:17 20:44:55-04:00,1630-Ways-to-Save-Infographic-CA-fr-r2.pdf,-rw-r--r--,563 kB,PDF,pdf,"False, False, False, False, False","Light, Regular, Bold, Bold, Bold","Amazon Ember, Amazon Ember, Amazon Ember, Amazon Ember Display, FAAAAA+AmazonEmberDisplay Bold","AmazonEmber_Lt.ttf, AmazonEmber_Rg.ttf, AmazonEmber_Bd.ttf, AmazonEmberDisplay_Bd.ttf, MyriadPro-Regular.otf","AmazonEmber-Light, AmazonEmber-Regular, AmazonEmber-Bold, AmazonEmberDisplay-Bold, FAAAAA+AmazonEmberDisplay-Bold","Open Type, Open Type, Open Type, Open Type, Unknown","Version 1.010, Version 1.010, Version 1.010, Version 2.000, Version 2.106;PS 2.000;hotconv 1.0.70;makeotf.lib2.5.58329","Smith, Raven, ",application/pdf,,,,,,False,False,,"saved, saved","/, /","xmp.iid:f4f35290-e2d6-418a-83ef-73b50780bb4e, xmp.iid:ba36d0a7-86dc-4ba6-8d83-370b31d00391",,"Adobe Illustrator 24.3 (Macintosh), Adobe Illustrator 26.0 (Macintosh)","2021:04:06 17:39:52-07:00, 2022:03:01 10:51:02-08:00",,,,uuid:62ba5a64-3162-8b44-b53c-1502bd39798c,,,No,,,"EmbedByReference, EmbedByReference, EmbedByReference","xmp.did:f1cee0fc-fdf1-44c6-b699-76b3dca1e609, xmp.did:f1cee0fc-fdf1-44c6-b699-76b3dca1e609, xmp.did:f1cee0fc-fdf1-44c6-b699-76b3dca1e609","/Users/kesmthj/Library/Application Support/Adobe/Creative Cloud Libraries/LIBS/D6223EC25D2DF5F00A495C0C_amazon.com/creative_cloud/dcx/522eef18-bb46-4216-b197-b00e876b7a38/components/66c49a77-be7a-4673-9b33-e251d1b4b3b9.ai, /Users/kesmthj/Library/Application Support/Adobe/Creative Cloud Libraries/LIBS/D6223EC25D2DF5F00A495C0C_amazon.com/creative_cloud/dcx/522eef18-bb46-4216-b197-b00e876b7a38/components/f34e70fc-93b7-4e04-bfca-565b041b4a41.ai, /Users/kesmthj/Library/Application Support/Adobe/Creative Cloud Libraries/LIBS/D6223EC25D2DF5F00A495C0C_amazon.com/creative_cloud/dcx/522eef18-bb46-4216-b197-b00e876b7a38/components/5b61acd9-1200-4720-ad0f-7f7c9a5405d9.ai","uuid:d1f6ff7a-f4b5-6246-8b40-859bc485d486, uuid:9b62a37d-db6e-9448-abbc-6386b33650f0, uuid:0ead23c0-8c77-e240-98db-87748e4e03fd",3675.559927,Points,612.000000,,,,,,,,2022:03:01 10:51:04-08:00,,application/pdf,,2022:03:01 10:51:04-08:00,,1,,uuid:5D20892493BFDB11914A8590D31508C8,1,,,,1.6,,,"Cyan, Magenta, Yellow, Black",,Adobe PDF library 16.03,,,,,,,,,,,,,,proof:pdf,,,,,,,,,,,,,,Print,,,"255, 32, 36, 0, 81, 239, 146, 140, 45, 54, 41, 29, 64, 50, 35, 63, 74, 68, 56, 115, 157, 225, 188, 144, 98, 145, 143, 99, 92, 123, 155, 121, 88, 66, 108, 80, 60, 41, 19, 21, 182, 0, 236, 36, 32, 66, 91, 113, 133, 152, 172, 192, 212, 232, 242, 36, 34, 23, 75, 154, 152",,"255, 31, 28, 242, 166, 174, 49, 0, 30, 65, 90, 148, 176, 237, 223, 198, 181, 148, 104, 182, 167, 170, 117, 57, 34, 45, 39, 31, 28, 42, 181, 133, 102, 74, 154, 124, 94, 76, 57, 36, 124, 196, 204, 167, 31, 64, 89, 110, 130, 149, 169, 190, 211, 231, 242, 28, 101, 222, 161, 64, 63",,"RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB","255, 35, 237, 255, 0, 0, 46, 236, 190, 239, 241, 247, 251, 249, 215, 141, 57, 0, 0, 43, 0, 39, 28, 43, 38, 102, 146, 158, 218, 238, 194, 155, 114, 89, 196, 169, 139, 117, 96, 60, 0, 255, 127, 255, 35, 65, 88, 109, 128, 147, 167, 188, 209, 230, 241, 237, 242, 255, 0, 33, 127","White, Black, CMYK Red, CMYK Yellow, CMYK Green, CMYK Cyan, CMYK Blue, CMYK Magenta, C=15 M=100 Y=90 K=10, C=0 M=90 Y=85 K=0, C=0 M=80 Y=95 K=0, C=0 M=50 Y=100 K=0, C=0 M=35 Y=85 K=0, C=5 M=0 Y=90 K=0, C=20 M=0 Y=100 K=0, C=50 M=0 Y=100 K=0, C=75 M=0 Y=100 K=0, C=85 M=10 Y=100 K=10, C=90 M=30 Y=95 K=30, C=75 M=0 Y=75 K=0, C=80 M=10 Y=45 K=0, C=70 M=15 Y=0 K=0, C=85 M=50 Y=0 K=0, C=100 M=95 Y=5 K=0, C=100 M=100 Y=25 K=25, C=75 M=100 Y=0 K=0, C=50 M=100 Y=0 K=0, C=35 M=100 Y=35 K=10, C=10 M=100 Y=50 K=0, C=0 M=95 Y=20 K=0, C=25 M=25 Y=40 K=0, C=40 M=45 Y=50 K=5, C=50 M=50 Y=60 K=25, C=55 M=60 Y=65 K=40, C=25 M=40 Y=65 K=0, C=30 M=50 Y=75 K=10, C=35 M=60 Y=80 K=25, C=40 M=65 Y=90 K=35, C=40 M=70 Y=100 K=50, C=50 M=70 Y=80 K=70, R=0 G=124 B=182, SUmmer, Abyss, R=255 G=167 B=36, C=0 M=0 Y=0 K=100, C=0 M=0 Y=0 K=90, C=0 M=0 Y=0 K=80, C=0 M=0 Y=0 K=70, C=0 M=0 Y=0 K=60, C=0 M=0 Y=0 K=50, C=0 M=0 Y=0 K=40, C=0 M=0 Y=0 K=30, C=0 M=0 Y=0 K=20, C=0 M=0 Y=0 K=10, C=0 M=0 Y=0 K=5, C=0 M=100 Y=100 K=0, C=0 M=75 Y=100 K=0, C=0 M=10 Y=95 K=0, C=85 M=10 Y=100 K=0, C=100 M=90 Y=0 K=0, C=60 M=90 Y=0 K=0","100.000000, 100.000000, 100.000000, 100.000000","PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS",,"Default Swatch Group, Grays, Brights","0, 1, 1",,,JPEG,256,"(Binary data 7313 bytes, use -b option to extract)",64,1630-Ways-to-Save-Infographic-CA-fr-r2,,,,,,,,,,,,,,"Adobe XMP Core 7.1-c000 79.a8731b9, 2021/09/09-00:37:38        ",
1773-PubSec-Guide-Fiscal-Year-End.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022:05:03 15:38:48-07:00,Adobe InDesign 17.2 (Macintosh),,,Adobe InDesign 17.2 (Macintosh),,,xmp.did:c368fdf1-e03c-4fab-b8e0-7073bb78e997,xmp.iid:6fdee635-4f9f-4dfd-870d-36b5f58ec918,xmp.did:fa1e8dfe-86bb-4cbc-9741-6355fe0b11d8,default,,,,,,,.,xmp.id:13bf0c3d-9211-42c9-b9bb-e3fd66ffd061,,12.57,,2024:04:17 20:44:48-04:00,2024:04:17 20:44:49-04:00,2024:04:17 20:44:49-04:00,1773-PubSec-Guide-Fiscal-Year-End.pdf,-rw-r--r--,8.8 MB,PDF,pdf,,,,,,,,,application/pdf,,,,PDF/X-1a:2001,PDF/X-1:2001,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign 17.2 (Macintosh),2022:05:03 15:38:48-07:00,,,,uuid:6e2d1014-e85c-1d4a-a62e-8c4413c7cfe9,,en-US,No,,,,,,,,,,,,,,,,,2022:05:03 15:38:56-07:00,,application/pdf,,2022:05:03 15:38:56-07:00,,,,xmp.did:fa1e8dfe-86bb-4cbc-9741-6355fe0b11d8,11,,,,1.3,,,,,Adobe PDF Library 16.0.7,,,,,,,,,,,,,,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773-PubSec-Guide-Fiscal-Year-End-r2.indd,False,,,,,1,,,,,,,,"Adobe XMP Core 7.1-c000 79.83fae64, 2022/02/15-08:07:32        ",
2747_WhatisAB-PSFasset.pdf,,,,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,"Not Embedded, Independent","RGB ",,,0.9642 1 0.82491,,2023:07:18 12:13:06-07:00,Adobe InDesign 18.2 (Macintosh),,,Adobe InDesign 18.2 (Macintosh),,,xmp.did:368ee9b0-5ff7-44f8-92b2-086bb7fee653,xmp.iid:7b8c7660-3001-4a70-9445-a77c54bf258b,xmp.did:7e20b0c5-d4ac-485f-8714-67c46e66c14d,default,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,xmp.id:85d35d8c-a974-4a9f-ad9c-2f2c2e01b580,,12.57,,2024:04:17 20:42:51-04:00,2024:04:17 20:42:51-04:00,2024:04:17 20:42:51-04:00,2747_WhatisAB-PSFasset.pdf,-rw-r--r--,812 kB,PDF,pdf,,,,,,,,,application/pdf,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign 18.2 (Macintosh),2023:07:18 12:13:06-07:00,,,,uuid:09fff125-6c42-ca46-917b-5916e27d2da7,,en-US,Yes,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,2023:07:18 12:13:14-07:00,,application/pdf,,2023:07:18 12:13:14-07:00,,,,xmp.did:7e20b0c5-d4ac-485f-8714-67c46e66c14d,6,,,,1.7,,,,Microsoft Corporation,Adobe PDF Library 17.0,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",Perceptual,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,,False,,,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,,"Adobe XMP Core 9.0-c001 79.14ecb42, 2022/12/02-19:12:44        ",
838536530._V212275741_.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,File is empty,12.57,,2024:04:17 20:44:54-04:00,2024:04:17 20:44:54-04:00,2024:04:17 20:44:54-04:00,838536530._V212275741_.pdf,-rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1za+0okvEL.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,File is empty,12.57,,2024:04:17 20:42:38-04:00,2024:04:17 20:42:38-04:00,2024:04:17 20:42:38-04:00,A1za+0okvEL.pdf,-rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-Integrations-White-Paper-Jan-2023.pdf,,,,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,"Not Embedded, Independent","RGB ",,,0.9642 1 0.82491,,2023:01:24 13:44:32-05:00,Adobe InDesign 18.1 (Macintosh),,,Adobe InDesign 18.1 (Macintosh),,,xmp.did:b1a3f1b8-bc21-4d27-87a6-b8d3f2a9e622,xmp.iid:943c086e-7249-450a-b81b-a43437aff826,xmp.did:fa1e8dfe-86bb-4cbc-9741-6355fe0b11d8,default,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,xmp.id:17245429-afa7-4b6e-bf98-8d17acc2c22a,,12.57,,2024:04:17 20:44:51-04:00,2024:04:17 20:44:51-04:00,2024:04:17 20:44:51-04:00,AB-Integrations-White-Paper-Jan-2023.pdf,-rw-r--r--,763 kB,PDF,pdf,,,,,,,,,application/pdf,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign 18.1 (Macintosh),2023:01:24 13:44:32-05:00,,,,uuid:cafb12aa-d755-4644-923b-71c5a8b31e94,,en-US,Yes,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,2023:01:24 13:44:34-05:00,,application/pdf,,2023:01:24 13:44:34-05:00,,,,xmp.did:fa1e8dfe-86bb-4cbc-9741-6355fe0b11d8,10,SinglePage,FullScreen,,1.7,,,,Microsoft Corporation,Adobe PDF Library 17.0,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",Perceptual,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,,False,,,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,,"Adobe XMP Core 9.0-c000 79.cca54b0, 2022/11/26-09:29:55        ",
abmicrowavemanual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,12.57,,2024:04:17 20:42:29-04:00,2024:04:17 20:42:29-04:00,2024:04:17 20:42:29-04:00,abmicrowavemanual,-rw-r--r--,293 bytes,HTML,html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301 Moved Permanently,,,,,,,,,,,,,,,
