SourceFile,About,AnnotationUsageRights,AppleKeywords,AToB0,AToB1,AToB2,Author,AuthorsPosition,BlueMatrixColumn,BlueTRC,BToA0,BToA1,BToA2,ChromaticAdaptation,CMMFlags,ColorSpaceData,Company,ConnectionSpaceIlluminant,CreateDate,CreationDate,Creator,CreatorContactInfo,CreatorSubTool,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocChangeCount,DocumentID,DocumentUsageRights,Encryption,Error,ExifToolVersion,Extracted,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,Format,FormUsageRights,FrameFix,Gamut,GrayTRC,GreenMatrixColumn,GreenTRC,GTS_PDFXConformance,GTS_PDFXVersion,HasVisibleOverprint,HasVisibleTransparency,HasXFA,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,ImageinfoCreatedate,ImageinfoDocParID,ImageinfoDocPath,ImageinfoImagesBottom,ImageinfoImagesDatalinkUID,ImageinfoImagesDirid,ImageinfoImagesFilename,ImageinfoImagesFullpath,ImageinfoImagesLeft,ImageinfoImagesRight,ImageinfoImagesScale,ImageinfoImagesSpread_index,ImageinfoImagesStatus,ImageinfoImagesTop,ImageinfoImagesVolumename,ImageinfoNofimages,ImageinfoVersion,IngredientsFilePath,InstanceID,Keywords,Language,Linearized,LineCount,Luminance,ManifestLinkForm,ManifestPlacedResolutionUnit,ManifestPlacedXResolution,ManifestPlacedYResolution,ManifestReferenceDocumentID,ManifestReferenceFilePath,ManifestReferenceInstanceID,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEEncoding,MIMEType,ModDate,Modified,ModifyDate,NativeDisplayInfo,Newlines,NPages,NumPages,OriginalDocumentID,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PageMode,PDFVersion,Physicalheightininches,Physicalwidthininches,PlateNames,PreviewsCreatedate,PreviewsNofspreads,PreviewsSpreadsBase64_data,PreviewsSpreadsFormat,PreviewsSpreadsHeight,PreviewsSpreadsNumber_of_encoded_chunks,PreviewsSpreadsScale,PreviewsSpreadsSpread_index,PreviewsSpreadsUnencoded_size,PreviewsSpreadsWidth,PreviewsVersion,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-ar-EG,ProfileDescriptionML-ca-ES,ProfileDescriptionML-cs-CZ,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-el-GR,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-he-IL,ProfileDescriptionML-hr-HR,ProfileDescriptionML-hu-HU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nb-NO,ProfileDescriptionML-nl-NL,ProfileDescriptionML-no-NO,ProfileDescriptionML-pl-PL,ProfileDescriptionML-pt-BR,ProfileDescriptionML-pt-PO,ProfileDescriptionML-ro-RO,ProfileDescriptionML-ru-RU,ProfileDescriptionML-sk-SK,ProfileDescriptionML-sv-SE,ProfileDescriptionML-th-TH,ProfileDescriptionML-tr-TR,ProfileDescriptionML-uk-UA,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileVersion,PTEX_Fullbanner,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,SettingsSaveimageinfo,SettingsWhichpreviews,Sha1,SignatureUsageRights,SigningAuthority,SigningDate,Size,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,SourceModified,StartupProfile,State,Subject,SwatchColorantBlue,SwatchColorantGreen,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchGroupName,SwatchGroupType,TaggedPDF,Technology,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailsCreatedate,ThumbnailsNofspreads,ThumbnailsSpreadsFormat,ThumbnailsSpreadsHeight,ThumbnailsSpreadsImage,ThumbnailsSpreadsSpread_index,ThumbnailsSpreadsUnencoded_size,ThumbnailsSpreadsWidth,ThumbnailsVersion,ThumbnailWidth,Title,Trapped,UserAccess,Version,VersionID,VideoCardGamma,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Warning,WordCount,XMPToolkit,XPressPrivate
07bd70b35a729a9c40c4e380b03ae50b1ac06741115b18c562ffe380392fc0b7-19429941209.pdf,,,,,,,User,,,,,,,,,,,,2012:10:21 16:42:22-04:00,,User,,,Microsoft® Office Word 2007,,,,,,,,,,,.,,uuid:d0a57676-dcf6-437d-bd26-2de4f90ff0c9,,,,12.57,,2024:04:18 18:24:10-04:00,2024:04:18 18:24:10-04:00,2024:04:18 18:24:10-04:00,07bd70b35a729a9c40c4e380b03ae50b1ac06741115b18c562ffe380392fc0b7-19429941209.pdf,-rw-r--r--,674 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:d647d74e-c298-481f-8757-10a19d00e65b,,en-US,Yes,,,,,,,,,,,,,,,,,,,,2012:10:21 16:42:40-04:00,,application/pdf,,,2012:10:21 16:42:40-04:00,,,,,,9,,,,,,,,1.5,,,,,,,,,,,,,,,,Microsoft® Office Word 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",
30_ipad_tips_for_summer.pdf,,,,,,,,,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,"Not Embedded, Independent","RGB ",,0.9642 1 0.82491,2021:07:19 21:04:32+09:00,,Adobe Illustrator 25.2 (Macintosh),,Adobe Illustrator,Adobe Illustrator 25.2 (Macintosh),xmp.did:19f2ab67-b0cf-4067-b0c7-abab0511011e,uuid:fe2f3704-8d90-ee41-ba81-04724320f5ad,uuid:5D20892493BFDB11914A8590D31508C8,default,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,IEC http://www.iec.ch,,IEC 61966-2.1 Default RGB colour space - sRGB,.,,xmp.did:0581a052-4241-49ab-a9d4-8031c8b1dd07,,,,12.57,,2024:04:18 18:22:30-04:00,2024:04:18 18:22:30-04:00,2024:04:18 18:22:30-04:00,30_ipad_tips_for_summer.pdf,-rw-r--r--,1909 kB,PDF,pdf,"False, False, False","Regular, Semibold, Bold","SF Hello +JP, SF Hello +JP, SF Hello +JP","SFHelloJP.ttc, SFHelloJP.ttc, SFHelloJP.ttc","SFHelloJP-Regular, SFHelloJP-Semibold, SFHelloJP-Bold","Open Type, Open Type, Open Type","Version 12.0d38e1 (Sys-17.0d2e1), Version 12.0d38e1 (Sys-17.0d2e1), Version 12.0d38e1 (Sys-17.0d2e1)",application/pdf,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",,,False,True,No,"saved, saved","/, /","xmp.iid:3808c490-b7da-46bf-bced-87cdaa996072, xmp.iid:0581a052-4241-49ab-a9d4-8031c8b1dd07",,"Adobe Illustrator 25.2 (Macintosh), Adobe Illustrator 25.2 (Macintosh)","2021:07:02 16:21:24+09:00, 2021:07:19 21:04:16+09:00",,,,,,,,,,,,,,,,,,"/var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/jC9MjY.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/QCnJEc.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/pRq8I0.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/wqYc6O.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/xCIJVo.tif",uuid:37c03b01-b48c-e042-9b52-c4e7c4e7df9c,,,Yes,,76.03647 80 87.12462,"EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference, EmbedByReference",,,,"0, 0, 0, 0, 0, 0, 0, xmp.did:2d33ff6b-c618-4c89-8ad8-d8687fe94e73, 0, adobe:docid:photoshop:a45dfab4-a303-c948-8686-2edb546d9d33","/var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/jC9MjY.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/QCnJEc.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/pRq8I0.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/wqYc6O.tif, /var/folders/zl/nxjs40vd713d6j908s0cl57nyfqp74/T/TemporaryItems/NSIRD_Illustrator_pByIWi/AI_25_2/xCIJVo.tif, /Users/01006672/Desktop/夏休み/作業/ib_activate_record_reading_progress_01_large.png, /Users/01006672/Desktop/夏休み/作業/Four seasons.004.png, /Users/01006672/Desktop/夏休み/作業/Four seasons.003.png, /Users/01006672/Desktop/夏休み/作業/Four seasons.002.png, /Users/01006672/Desktop/夏休み/作業/Four seasons.001.png, /Volumes/GoogleDrive/共有ドライブ/Newton_x_PD_企画制作/2021年/2021_6/夏休みのためのiPadのヒント30/Twitter/08/IMG_0955.JPG, /Users/01006672/Desktop/夏休み/Twitter/04/ib_activate_make_graphic_organizers_03_large_2x.jpg, /Users/01006672/Desktop/夏休み/Twitter/06/IMG_0651.PNG, /Volumes/GoogleDrive/共有ドライブ/Newton_x_PD_企画制作/2021年/2021_6/夏休みのためのiPadのヒント30/Twitter/11/IMG_0663.jpg, /Users/01006672/Desktop/夏休み/作業/Symmetry Portraits_ja_JP-1.psd","0, 0, 0, 0, 0, 0, 0, xmp.iid:2d33ff6b-c618-4c89-8ad8-d8687fe94e73, 0, xmp.iid:f0a9cd0c-46cd-4bd1-9e7f-ee7dddf29ce6",297.000083,Millimeters,210.000000,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,2021:08:16 19:26:47+09:00,,application/pdf,,,2021:08:16 19:26:47+09:00,,,1,,uuid:5D20892493BFDB11914A8590D31508C8,4,,,,,,,,1.6,,,"Cyan, Magenta, Yellow, Black",,,,,,,,,,,,Apple Computer Inc.,Adobe PDF library 15.00,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,proof:pdf,,,,,,,,,,,,,,,,,Print,,,"255, 26, 16, 0, 64, 132, 125, 36, 42, 27, 0, 49, 0, 0, 34, 55, 56, 52, 104, 153, 220, 180, 131, 92, 133, 131, 93, 83, 112, 155, 120, 86, 65, 102, 74, 56, 40, 23, 28, 146, 227, 88, 57, 159, 121, 29, 70, 138, 74, 15, 93, 61, 54, 45, 40, 155, 72, 120, 61, 183, 77, 248, 175, 109, 199, 90, 51, 86, 30, 214, 246, 37, 124, 200, 26, 56, 83, 108, 131, 152, 173, 193, 213, 233, 244, 16, 15, 0, 60, 139, 140","255, 28, 12, 237, 151, 44, 0, 35, 53, 80, 147, 176, 234, 221, 196, 173, 142, 101, 176, 164, 168, 114, 50, 42, 46, 41, 40, 27, 26, 183, 135, 102, 76, 155, 124, 92, 76, 60, 43, 104, 162, 88, 48, 191, 69, 122, 63, 60, 45, 20, 92, 62, 71, 53, 146, 162, 57, 129, 68, 163, 69, 226, 191, 66, 185, 147, 84, 178, 53, 172, 221, 32, 67, 111, 28, 58, 85, 109, 132, 153, 173, 193, 213, 233, 244, 12, 92, 220, 154, 56, 60","RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB","255, 28, 226, 255, 0, 48, 230, 186, 231, 233, 244, 250, 251, 219, 144, 38, 0, 0, 29, 0, 57, 34, 46, 44, 100, 148, 158, 214, 232, 197, 158, 115, 92, 196, 169, 138, 117, 97, 65, 238, 0, 233, 82, 250, 48, 226, 167, 66, 46, 19, 232, 197, 98, 174, 244, 67, 99, 144, 81, 43, 206, 184, 85, 56, 101, 135, 191, 224, 72, 0, 171, 26, 64, 0, 28, 57, 84, 109, 131, 152, 173, 193, 213, 233, 244, 226, 235, 255, 0, 42, 130","ホワイト, ブラック, CMYK レッド, CMYK イエロー, CMYK グリーン, CMYK ブルー, CMYK マゼンタ, C=15 M=100 Y=90 K=10, C=0 M=90 Y=85 K=0, C=0 M=80 Y=95 K=0, C=0 M=50 Y=100 K=0, C=0 M=35 Y=85 K=0, C=5 M=0 Y=90 K=0, C=20 M=0 Y=100 K=0, C=50 M=0 Y=100 K=0, C=75 M=0 Y=100 K=0, C=85 M=10 Y=100 K=10, C=90 M=30 Y=95 K=30, C=75 M=0 Y=75 K=0, C=80 M=10 Y=45 K=0, C=70 M=15 Y=0 K=0, C=85 M=50 Y=0 K=0, C=100 M=95 Y=5 K=0, C=100 M=100 Y=25 K=25, C=75 M=100 Y=0 K=0, C=50 M=100 Y=0 K=0, C=35 M=100 Y=35 K=10, C=10 M=100 Y=50 K=0, C=0 M=95 Y=20 K=0, C=25 M=25 Y=40 K=0, C=40 M=45 Y=50 K=5, C=50 M=50 Y=60 K=25, C=55 M=60 Y=65 K=40, C=25 M=40 Y=65 K=0, C=30 M=50 Y=75 K=10, C=35 M=60 Y=80 K=25, C=40 M=65 Y=90 K=35, C=40 M=70 Y=100 K=50, C=50 M=70 Y=80 K=70, C=0 M=71 Y=13 K=0 1, CMYK シアン, R=245 G=93 B=89 copy, R=83 G=42 B=58, R=255 G=200 B=167, R=22 G=69 B=132, R=237 G=130 B=24, R=178 G=64 B=72, R=59 G=59 B=150, R=0 G=0 B=96, R=0 G=0 B=0, R=242 G=98 B=97, R=211 G=64 B=64, R=103 G=72 B=55, R=188 G=49 B=49, R=255 G=155 B=46, R=63 G=168 B=163, R=102 G=55 B=74, R=145 G=131 B=119, R=81 G=68 B=61, R=0 G=172 B=200, R=221 G=71 B=76, C=30 M=0 Y=0 K=0 1, C=64 M=0 Y=37 K=0 1, C=93 M=83 Y=38 K=3 1, R=98 G=194 B=214, R=137 G=152 B=90, R=205 G=89 B=48, R=234 G=190 B=83, R=74 G=50 B=25, C=85 M=0 Y=10 K=0 1, C=35 M=0 Y=0 K=0 1, Black, R=53 G=66 B=135, R=0 G=112 B=201, C=0 M=0 Y=0 K=100, C=0 M=0 Y=0 K=90, C=0 M=0 Y=0 K=80, C=0 M=0 Y=0 K=70, C=0 M=0 Y=0 K=60, C=0 M=0 Y=0 K=50, C=0 M=0 Y=0 K=40, C=0 M=0 Y=0 K=30, C=0 M=0 Y=0 K=20, C=0 M=0 Y=0 K=10, C=0 M=0 Y=0 K=5, C=0 M=100 Y=100 K=0, C=0 M=75 Y=100 K=0, C=0 M=10 Y=95 K=0, C=85 M=10 Y=100 K=0, C=100 M=90 Y=0 K=0, C=60 M=90 Y=0 K=0","100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000","PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS","初期設定のスウォッチグループ, グレー, 輝き","0, 1, 1",,Cathode Ray Tube Display,JPEG,104,"(Binary data 13946 bytes, use -b option to extract)",,,,,,,,,,256,natsuyasumi_P2_0719_3,,,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",
206_introducing_the_modern_webkit_api.pdf,,,,,,,,,,,,,,,,,,,2014:06:04 03:22:19Z,,Keynote,,,Keynote,,,,,,,,,,,.,,uuid:ecf36531-83b0-d545-bc1b-e2a2fdaa8ca8,,,,12.57,,2024:04:18 18:23:24-04:00,2024:04:18 18:23:24-04:00,2024:04:18 18:23:24-04:00,206_introducing_the_modern_webkit_api.pdf,-rw-r--r--,8.9 MB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:dacc9945-e7b9-7f4b-96bb-29e8fd1d2706,,,Yes,,,,,,,,,,,,,,,,,,,,2014:06:03 20:28:48-07:00,,application/pdf,,,2014:06:03 20:28:48-07:00,,,,,,182,,,,,,,,1.4,,,,,,,,,,,,,,,,Mac OS X 10.9.3 Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206 - Introducing the Modern WebKit API_05_03_LP.key_DF,,,,,,,,,,,,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",
211_designing_intuitive_user_experiences.pdf,,,,,,,,,,,,,,,,,,,2014:06:04 17:22:26Z,,Keynote,,,Keynote,,,,,,,,,,,.,,uuid:bd5f7088-1d38-6945-b090-cd1aa03d7a7f,,,,12.57,,2024:04:18 18:23:22-04:00,2024:04:18 18:23:23-04:00,2024:04:18 18:23:23-04:00,211_designing_intuitive_user_experiences.pdf,-rw-r--r--,13 MB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:fbd58130-bedc-044b-947e-29b805b392db,,,Yes,,,,,,,,,,,,,,,,,,,,2014:06:04 10:26:40-07:00,,application/pdf,,,2014:06:04 10:26:40-07:00,,,,,,386,,,,,,,,1.4,,,,,,,,,,,,,,,,Mac OS X 10.9.3 Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211_Designing Intuitive User Interfaces_Final_QC_DF,,,,,,,,,,,,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",
219_image_and_graphics_best_practices.pdf,,,,,,,,,,,,,,,,,,,2018:06:07 03:57:16Z,,Keynote,,,Keynote,,,,,,,,,,,.,,uuid:bcad387d-534a-f74c-a0f2-f01697239d5a,,,,12.57,,2024:04:18 18:23:28-04:00,2024:04:18 18:23:28-04:00,2024:04:18 18:23:28-04:00,219_image_and_graphics_best_practices.pdf,-rw-r--r--,6.3 MB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:b207f882-3fe8-6c41-af02-69f6b39c838d,,,Yes,,,,,,,,,,,,,,,,,,,,2018:06:06 20:57:41-07:00,,application/pdf,,,2018:06:06 20:57:41-07:00,,,,,,102,,,,,,,,1.5,,,,,,,,,,,,,,,,Mac OS X 10.13.4 Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219_WWDC2018 Working 4_03_D,,,,,,,,,,,,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",
303-8448907820605895812-4.unite.pdf,,,,,,,,,,,,,,,,,,,2016:05:03 15:59:13+03:00,,,,,PScript5.dll Version 5.2.2,,,,,,,,,,,.,,uuid:c07a4615-7f43-470a-afe3-61d0442e1fb3,,,,12.57,,2024:04:18 18:24:40-04:00,2024:04:18 18:24:40-04:00,2024:04:18 18:24:40-04:00,303-8448907820605895812-4.unite.pdf,-rw-r--r--,1205 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:30b3fa59-b2ec-47b7-9538-fe5a0bcdbc9a,,,Yes,,,,,,,,,,,,,,,,,,,,,,application/pdf,,,2016:05:03 15:59:13+03:00,,,,,,20,,,,,,,,1.5,,,,,,,,,,,,,,,,Acrobat Distiller 10.1.16 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",
304-4040652808601873320-Craniopharyngioma_Transcranial_Approach_PDF.pdf,,,,,,,,,,,,,,,,,,,2016:09:15 16:22:42,,,,,,,,,,,,,,,,.,,,,,,12.57,,2024:04:18 18:24:19-04:00,2024:04:18 18:24:19-04:00,2024:04:18 18:24:19-04:00,304-4040652808601873320-Craniopharyngioma_Transcranial_Approach_PDF.pdf,-rw-r--r--,1651 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,application/pdf,,,,,,,,,25,,,,,,,,1.4,,,,,,,,,,,,,,,,Qt 5.5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304-7318613183227921330-_nite_2.pdf,,,,,,,SY,,,,,,,,,,,,2011:09:21 12:12:05+03:00,,Microsoft® Word 2010,,,,,,,,,,,,,,.,,,,,,12.57,,2024:04:18 18:24:22-04:00,2024:04:18 18:24:22-04:00,2024:04:18 18:24:22-04:00,304-7318613183227921330-_nite_2.pdf,-rw-r--r--,611 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr-TR,No,,,,,,,,,,,,,,,,,,,,,,application/pdf,,,2011:09:21 12:12:05+03:00,,,,,,10,,,,,,,,1.5,,,,,,,,,,,,,,,,Microsoft® Word 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"EGZERSİZLER, KORUYUCU, TEDAVİ EDİCİ VE MUAYENE POZİSYONLARI",,,,,,,,,,,,,
305-1571469758717127326-_N_TE_1.pdf,,,,,,,Şeyda,,,,,,,,,,,,2014:01:06 09:17:16+02:00,,Şeyda,,,Word için Acrobat PDFMaker 11,,,,,,,,,,,.,,uuid:6ea92b53-d1c9-48f1-93be-9ad5d4b8fc47,,,,12.57,,2024:04:18 18:24:30-04:00,2024:04:18 18:24:30-04:00,2024:04:18 18:24:30-04:00,305-1571469758717127326-_N_TE_1.pdf,-rw-r--r--,1010 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:0ceae058-d7bb-4b72-a5b2-d86142ce5456,,TR,Yes,,,,,,,,,,,,,,,,,,,,2014:01:06 09:17:39+02:00,,application/pdf,,,2014:01:06 09:17:39+02:00,,,,,,20,,,,,,OneColumn,,1.5,,,,,,,,,,,,,,,,Adobe PDF Library 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:20140106071704,,,25,,,,,,,,,,Yes,,,,,,,,,,,,,,,İcra Hukukunun Genel Esasları Ve İcra Teşkilatı (İcra Organları),,,,,,,,,,,,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",
306-5971329641859131587-_N_TE_8.pdf,,,,,,,Şeyda,,,,,,,,,,,,2014:01:02 13:03:38+02:00,,Şeyda,,,Word için Acrobat PDFMaker 11,,,,,,,,,,,.,,uuid:e1272803-44d9-4ee7-a96d-cba3777575e1,,,,12.57,,2024:04:18 18:24:18-04:00,2024:04:18 18:24:18-04:00,2024:04:18 18:24:18-04:00,306-5971329641859131587-_N_TE_8.pdf,-rw-r--r--,890 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:28029958-481c-4504-8f59-35c27b2cb6c3,,TR,Yes,,,,,,,,,,,,,,,,,,,,2014:01:02 13:03:59+02:00,,application/pdf,,,2014:01:02 13:03:59+02:00,,,,,,17,,,,,,OneColumn,,1.5,,,,,,,,,,,,,,,,Adobe PDF Library 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:20131227094443,,,32,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",
