SourceFile,About,AggregationType,AnnotationUsageRights,AppleKeywords,Appligent,Author,BlueMatrixColumn,BlueTRC,Category,ChromaticAdaptation,CMMFlags,ColorSpaceData,Comments,Company,Conformance,ConnectionSpaceIlluminant,Copyright,CoverDisplayDate,CreateDate,CreationDate,Creator,CreatorTool,CrossmarkDomainExclusive,CrossMarkDomains,CrossMarkDomains_1_,CrossMarkDomains_2_,CrossmarkMajorVersionDate,Date,DcTitle,DerivedFrom,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,Description-x-repair,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocChangeCount,DocumentID,DocumentUsageRights,DOI,EndingPage,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,Format,FormUsageRights,GrayTRC,GreenMatrixColumn,GreenTRC,HasVisibleOverprint,HasVisibleTransparency,HasXFA,Headline,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,Identifier,IEEE_Article_ID,IEEE_Issue_ID,IEEE_Publication_ID,InstanceID,ISSN,IssueIdentifier,JCALibraryBuild,Journal_article_version,KeyStampMp,Keywords,Language,Linearized,Luminance,MajorVersionDate,Manager,ManifestLinkForm,ManifestReferenceFilePath,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEType,ModDate,ModifyDate,MTWinEqns,NPages,OriginalDocumentID,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PageMode,Part,PDFVersion,PlateNames,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nb-NO,ProfileDescriptionML-nl-NL,ProfileDescriptionML-pl-PL,ProfileDescriptionML-pt-BR,ProfileDescriptionML-ru-RU,ProfileDescriptionML-sv-SE,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileVersion,PTEX_Fullbanner,PTEXFullbanner,PublicationName,Publisher,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,Robots,SchemasNamespaceURI,SchemasPrefix,SchemasPropertyCategory,SchemasPropertyDescription,SchemasPropertyName,SchemasPropertyValueType,SchemasSchema,SchemasValueTypeDescription,SchemasValueTypeNamespaceURI,SchemasValueTypePrefix,SchemasValueTypeType,SignatureUsageRights,SigningAuthority,SigningDate,SourceModified,StartingPage,StartupProfile,Subject,SwatchColorantA,SwatchColorantB,SwatchColorantBlack,SwatchColorantCyan,SwatchColorantL,SwatchColorantMagenta,SwatchColorantMode,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchColorantYellow,SwatchGroupName,SwatchGroupType,TaggedPDF,Technology,TemplateVersion,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Title-x-repair,Trapped,URL,VersionID,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Volume,Warning,Wps-articledoi,Wps-journaldoi,Wps-proclevel,XMPToolkit
020%20MCMC.pdf,,,,,,WES,,,,,,,,,,,,,2016:01:02 18:37:15-05:00,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,12.70,2024:04:16 13:18:55-04:00,2024:04:16 13:18:55-04:00,2024:04:16 13:18:55-04:00,020%20MCMC.pdf,-rw-r--r--,816 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,application/pdf,,2016:01:02 18:37:15-05:00,,,,5,,,,,,,,,1.7,,,Microsoft: Print To PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathcad - 020-2016 MCMC One Sam,,,,,,,,,,,,,,
11_Fermi_liquid_theory.pdf,uuid:b4d03909-1d97-11e9-0000-9dbae6ee5fc9,,,,,Masatsugu Suzuki,,,,,,,,,,,,,2019:01:18 11:15:01-05:00,,Masatsugu Suzuki,Bullzip PDF Printer (11.8.0.2728),,,,,,,,,,,,,,,,,,,,.,,uuid:b4d03909-1d97-11e9-0000-9dbae6ee5fc9,,,,12.70,2024:04:16 13:17:09-04:00,2024:04:16 13:17:09-04:00,2024:04:16 13:17:09-04:00,11_Fermi_liquid_theory.pdf,-rw-r--r--,1548 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,application/pdf,,2019:01:18 11:15:01-05:00,,,,34,,,,,,,,,1.5,,,PDF Printer / www.bullzip.com / FG / Freeware Edition (max 10 users),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 11 Fermi liquid theory,,,,,,,,,,,,,,"XMP toolkit 2.9.1-13, framework 1.6"
16_Time_reversal_operator.pdf,,,,,,Sei,,,,,,,,,,,,,2015:01:05 22:00:54-05:00,,Sei,PScript5.dll Version 5.2.2,,,,,,,,,,,,,,,,,,,,.,,uuid:05bc8140-f440-41bf-8acd-037c94bc2d2c,,,,12.70,2024:04:16 13:17:13-04:00,2024:04:16 13:17:13-04:00,2024:04:16 13:17:13-04:00,16_Time_reversal_operator.pdf,-rw-r--r--,187 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:53f148c7-126e-4367-9f69-efaaf11322f6,,,,,,,,Yes,,,,,,,,,,,,,,,,,application/pdf,,2015:01:05 22:00:54-05:00,,,,32,,,,,,,,,1.5,,,Acrobat Distiller 9.5.5 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 16  Time reversal operator,,,,,,,,,,,,,,"Adobe XMP Core 4.2.1-c043 52.372728, 2009/01/18-15:08:04        "
2013-1.pdf,,,,,,,,,,,,,,,,,,,2013:08:28 11:10:51Z,,,,,,,,,,,,,,,,,,,,,,,.,,uuid:942dc362-3ca2-4aad-b785-87733788227a,,,,12.70,2024:04:16 13:17:16-04:00,2024:04:16 13:17:17-04:00,2024:04:16 13:17:17-04:00,2013-1.pdf,-rw-r--r--,674 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:216e6e46-dbd3-48ff-91c2-0015fe269e69,,,,,,,,Yes,,,,,,,,,,,,,,,,2013:09:17 18:18:34+08:00,application/pdf,,2013:09:17 18:18:34+08:00,,,,7,,,,,,SinglePage,UseThumbs,,1.4,,,ezPDF Builder 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        "
2014-3_Yeonsung_Kim_Molding_Compound.pdf,,,,,,,,,,,,,,,,,,,2014:09:27 13:45:40+05:30,,,,,,,,,,,,,,,,,,,,,,,.,,uuid:9365ed1b-e935-4810-8131-7c441dae6724,,,,12.70,2024:04:16 13:17:37-04:00,2024:04:16 13:17:37-04:00,2024:04:16 13:17:37-04:00,2014-3_Yeonsung_Kim_Molding_Compound.pdf,-rw-r--r--,2.9 MB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:e0ea9980-33d9-47dc-9130-a159f606f5aa,,,,,,,,No,,,,,,,,,,,,,,,,,application/pdf,,2014:10:01 06:37:46-04:00,,,,9,,,,,,,,,1.4,,,Acrobat Distiller 7.0 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untitled,,,,,,,,,,,,,,3.1-701
2017CISS1.pdf,,,,,,,,,,,,,,,,,,,2016:12:26 19:28:44-08:00,,TeX,TeX,,,,,,,,,,,,,,,,,,,,.,,uuid:9fabbc90-c7f4-4a85-a206-350cbb988a88,,,,12.70,2024:04:16 13:17:28-04:00,2024:04:16 13:17:28-04:00,2024:04:16 13:17:28-04:00,2017CISS1.pdf,-rw-r--r--,532 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:03dcaab4-1846-4c3d-bd93-18ec5e85de49,,,,,,,,Yes,,,,,,,,,,,,,,,,2017:01:28 17:52:01-05:00,application/pdf,,2017:01:28 17:52:01-05:00,,,,6,,,,,,,,,1.5,,,MiKTeX pdfTeX-1.40.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is MiKTeX-pdfTeX 2.9.6050 (1.40.17),This is MiKTeX-pdfTeX 2.9.6050 (1.40.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
2019runTime.pdf,,,,,,"Angel Beltre, Shehtab Zaman, Kenneth Chiu, Sudhakar Pamidighantam, Xingye Qiao, and Madhusudhan Govindaraju",,,,,,,,,,,,,2019:05:25 17:23:18Z,,"Angel Beltre, Shehtab Zaman, Kenneth Chiu, Sudhakar Pamidighantam, Xingye Qiao, and Madhusudhan Govindaraju",LaTeX with acmart 2018/12/16 v1.57 Typesetting articles for the Association for Computing Machinery and hyperref 2017/03/14 v6.85a Hypertext links for LaTeX,,,,,,,,,,,,,-  Applied computing  ->  -1!Chemistry.-  Computing methodologies  ->  -1!Feature selection.-1!Cross-validation.,,,,,,,.,,uuid:cdc55a4b-04ba-41b5-a940-3f401f7e1710,,,,12.70,2024:04:16 13:17:27-04:00,2024:04:16 13:17:27-04:00,2024:04:16 13:17:27-04:00,2019runTime.pdf,-rw-r--r--,675 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:87870e48-20f6-4e0c-9fcb-1fabd1a173c8,,,,,,"Science Gateways, SEAGrid, Gaussian, Runtime Prediction, Machine Learning",en,Yes,,,,,,,,,,,,,,,,2019:07:06 09:04:41+05:30,application/pdf,,2019:07:06 09:04:41+05:30,,,,8,,,,,,,UseOutlines,,1.6,,,pdfTeX-1.40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is pdfTeX, Version 3.14159265-2.6-1.40.18 (TeX Live 2017) kpathsea version 6.2.3","This is pdfTeX, Version 3.14159265-2.6-1.40.18 (TeX Live 2017) kpathsea version 6.2.3",,,,,,,,,,,,,,,,,,,,,,,,,-  Applied computing  ->  -1!Chemistry.-  Computing methodologies  ->  -1!Feature selection.-1!Cross-validation.,,,,,,,,,,,,,,,,,,,,,Towards Run Time Estimation of the Gaussian Chemistry Code for SEAGrid Science Gateway,,False,,,,,,,,,,,,"Adobe XMP Core 4.0-c316 44.253921, Sun Oct 01 2006 17:14:39"
2020DiNN.pdf,,,,,,,,,,,,,,,,,,,2020:10:21 13:06:34-04:00,,LaTeX with hyperref package,,,,,,,,,,,,,,,,,,,,,.,,,,,,12.70,2024:04:16 13:17:40-04:00,2024:04:16 13:17:40-04:00,2024:04:16 13:17:40-04:00,2020DiNN.pdf,-rw-r--r--,310 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,application/pdf,,2020:10:21 13:06:34-04:00,,,,12,,,,,,,UseOutlines,,1.5,,,pdfTeX-1.40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is pdfTeX, Version 3.14159265-2.6-1.40.18 (TeX Live 2017/W32TeX) kpathsea version 6.2.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,
2020fproblem5.pdf,,,,,,,,,,,,,,,,,,,2020:11:14 17:20:24-05:00,,TeX,,,,,,,,,,,,,,,,,,,,,.,,,,,,12.70,2024:04:16 13:18:31-04:00,2024:04:16 13:18:31-04:00,2024:04:16 13:18:31-04:00,2020fproblem5.pdf,-rw-r--r--,123 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,application/pdf,,2020:11:14 17:20:24-05:00,,,,3,,,,,,,,,1.5,,,MiKTeX pdfTeX-1.40.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is MiKTeX-pdfTeX 2.9.4198 (1.40.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,
2020IEEEAccess.pdf,,,,,AppendPDF Pro 5.5 Linux Kernel 2.6 64bit Oct  2 2014 Library 10.1.0,,,,,,,,,,,,,,2020:04:24 14:31:53-04:00,,Appligent AppendPDF Pro 5.5,,,,,,,,,,,,,,IEEE Access; ;PP;99;10.1109/ACCESS.2020.2990416,,,,,,,.,,,,10.1109/ACCESS.2020.2990416,1,12.70,2024:04:16 13:17:41-04:00,2024:04:16 13:17:41-04:00,2024:04:16 13:17:41-04:00,2020IEEEAccess.pdf,-rw-r--r--,1504 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,,,9078792,6514899,6287639,,,99,,,,,,No,,,,,,,,,,,,,,,,,application/pdf,,2020:04:24 15:26:17-04:00,,,,11,,,,,,,,,1.7,,,Microsoft: Print To PDF; modified using iText® 7.1.1 ©2000-2018 iText Group NV (AGPL-version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Access,IEEE,,,,,,,,,,,,,,,,,,,,,1,,"spiking convolutional neural network, LiDAR temporal data, energy consumption, real-time object detection",,,,,,,,,,,,,,,,,,,,,Deep SCNN-based Real-time Object Detection for Self-driving Vehicles Using LiDAR Temporal Data,,,,,,,,,PP,,,,,
