SourceFile,About,ACS_OpenAccess_Stamp,ACS_OpenAccess_Version,AggregationType,AnnotationUsageRights,AppleKeywords,ArchivedFileName,Author,Authors,AuthorsPosition,BlueMatrixColumn,BlueTRC,CaptionWriter,Category,CMMFlags,ColorSpaceData,Comments,Company,Compression,Conformance,ConnectionSpaceIlluminant,Contact,ContactRef,Copyright,CoverDate,CoverDisplayDate,CreateDate,CreationDate,Creator,CreatorContactInfo,CreatorTool,CrossmarkDomainExclusive,CrossMarkDomains,CrossMarkDomains005B1005D,CrossMarkDomains005B2005D,CrossMarkDomains_1_,CrossMarkDomains_2_,CrossmarkMajorVersionDate,Date,DateElement-refinement,DcTitle,Department,DepartmentRef,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,Description-en-GB,Description-x-repair,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocChangeCount,DocumentID,DocumentUsageRights,Doi,EIssn,ElsevierWebPDFSpecifications,Encryption,EndingPage,Error,ExifToolVersion,Extracted,ExtraFlags,Figures,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Flags,Format,FormUsageRights,Fpage,GrayTRC,GreenMatrixColumn,GreenTRC,GTS_PDFXConformance,GTS_PDFXVersion,HasXFA,Headline,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,Identifier,IEEE_Article_ID,IEEE_Issue_ID,IEEE_Publication_ID,InstanceID,ISSN,IssueIdentifier,IssueName,JavJournalArticleVersion,JCALibraryBuild,Journal_article_version,Keywords,Label,Lang,Language,Linearized,LineCount,Lpage,Luminance,MajorVersionDate,Manager,ManifestLinkForm,ManifestReferenceDocumentID,ManifestReferenceInstanceID,Marked,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEEncoding,MIMEType,ModDate,Modified,ModifyDate,Newlines,Number,NumPages,OperatingSystem,OriginalDocumentID,Owner,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PageMode,PageRange,Part,PDFVersion,Physicalheightininches,Physicalwidthininches,PostscriptName,PrimaryPlatform,PrismDoi,PrismVersionIdentifier,Producer,ProfileBlob,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-ar-EG,ProfileDescriptionML-ca-ES,ProfileDescriptionML-cs-CZ,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-el-GR,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-he-IL,ProfileDescriptionML-hr-HR,ProfileDescriptionML-hu-HU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nb-NO,ProfileDescriptionML-nl-NL,ProfileDescriptionML-pl-PL,ProfileDescriptionML-pt-BR,ProfileDescriptionML-pt-PO,ProfileDescriptionML-ro-RO,ProfileDescriptionML-ru-RU,ProfileDescriptionML-sk-SK,ProfileDescriptionML-sv-SE,ProfileDescriptionML-th-TH,ProfileDescriptionML-tr-TR,ProfileDescriptionML-uk-UA,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileVersion,PTEX_Fullbanner,PTEXFullbanner,PublicationDate,PublicationName,Publisher,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,Rights,Rights-en-GB,RightsAgent,Robots,Sha1,SignatureUsageRights,SigningAuthority,SigningDate,Size,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugKerningChecksum,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,Source,SourceModified,StartingPage,State,Subject,Tables,TaggedPDF,Technology,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Title-x-repair,Trapped,Type,URL,UsageTerms,UserAccess,Version,VersionID,VersionIdentifier,VersionRef,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Volume,Warning,WordCount,Words,WPS-ARTICLEDOI,WPS-JOURNALDOI,WPS-PROCLEVEL,XMPToolkit
00-0001.pdf,,,,,,,,"Edited by C. Scawthorn; Contributors: M. Bruneau, R. Eguchi, T. Holzer, G. Johnson, J. Mander, J. Mitchell, W. Mitchell, A. Papageorgiou and G. Webb",,,,,,,,,,,,,,,,,,,2001:01:17 13:32:25-05:00,,"Edited by C. Scawthorn; Contributors: M. Bruneau, R. Eguchi, T. Holzer, G. Johnson, J. Mander, J. Mitchell, W. Mitchell, A. Papageorgiou and G. Webb",,00-0001.rdo - Document Scan and Makeready,,,,,,,,,,,,,,,,,,,,,,,,,.,,uuid:886e629b-e786-4c7c-89c5-5d8eeea094d0,,,,,,,,12.70,,,,2024:04:16 13:27:00-04:00,2024:04:16 13:27:03-04:00,2024:04:16 13:27:03-04:00,00-0001.pdf,-rw-r--r--,32 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,uuid:f6096222-f189-4171-a823-fddca9efbd46,,,,,,,"Marmara, Turkey, earthquake, Reconnaissanse, report",,,,No,,,,,,,,,,,,,,,,,2008:05:29 12:26:16-04:00,,application/pdf,,,2008:05:29 12:26:16-04:00,,,,,,,182,,,,,,,,,,1.4,,,,,,,Acrobat PDFWriter 4.0 for Windows NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Marmara, Turkey Earthquake of August 17, 1999: Reconnaissance Report",,,,,,,,,,,,,,,,[Minor] Ignored duplicate Info dictionary,,,,,,3.1-702
00-0010-Revision.pdf,,,,,,,,"O.M.Ramirez, M.C.Constantinou, C.A.Kircher, A.S.Whittaker, M.W.Johnson and J.D.Gomez",,,,,,,,,,,,,,,,,,,2003:02:06 18:50:19Z,,"O.M.Ramirez, M.C.Constantinou, C.A.Kircher, A.S.Whittaker, M.W.Johnson and J.D.Gomez",,Xerox Documents On Demand 4.2,,,,,,,,,,,,,,,,,Earthquake Engineering,,,,,,,,.,,uuid:f2a440ee-fcaf-409c-b355-bcecf0384ef9,,,,,Standard V4.4 (128-bit),,,12.70,,,,2024:04:16 13:26:17-04:00,2024:04:16 13:26:21-04:00,2024:04:16 13:26:21-04:00,00-0010-Revision.pdf,-rw-r--r--,32 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,uuid:6f18bbb8-7743-4f69-af47-e120227cb172,,,,,,,"Passive control systems.  Passive energy dissipation systems.  Simplified analysis procedures.  NEHRP Recommended Provisions for Seismic Regulations for New Buildings and Other Structures, 2000 edition.    Damping coefficients.  Response spectra. Displacement ductility demand.  Viscous damping systems.  Nonlinear static analysis.  Higher damping.    Equivalent lateral force  methods.  Modal analysis.",,,,No,,,,,,,,,,,,,,,,,2019:09:10 14:16:25-04:00,,application/pdf,,,2019:09:10 14:16:25-04:00,,,,,,,512,,,,,,,,,,1.6,,,,,,,Acrobat Distiller 5.0.5 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Passive control systems., Passive energy dissipation systems., Simplified analysis procedures., NEHRP Recommended Provisions for Seismic Regulations for New Buildings and Other Structures, 2000 edition., Damping coefficients., Response spectra. Displacement ductility demand., Viscous damping systems., Nonlinear static analysis., Higher damping., Equivalent lateral force, methods., Modal analysis.",,,,,,,,Development and Evaluation of Simplified Procedures for Analysis and Design of Buildings with Passive Energy Dissipation Systems,,,,,,"Print, Extract, Print high-res",,,,,,,,,,,,,,,,"Adobe XMP Core 5.6-c016 91.163616, 2018/10/29-16:58:49        "
00LecturePart05.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,2008:11:09 23:09:06-05:00,,LaTeX with hyperref package,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,12.70,,,,2024:04:16 13:27:04-04:00,2024:04:16 13:27:05-04:00,2024:04:16 13:27:05-04:00,00LecturePart05.pdf,-rw-r--r--,4.0 MB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,application/pdf,,,2008:11:09 23:09:06-05:00,,,,,,,19,,,,,,,UseOutlines,,,1.4,,,,,,,pdfTeX-1.40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is pdfTeX, Version 3.141592-1.40.3-2.2 (Web2C 7.5.6) kpathsea version 3.5.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
03-SP03Part1.pdf,,,,,,,,ATC/MCEER Joint Venture,,,,,,,,,,,,,,,,,,,2003:12:12 23:32:27Z,,ATC/MCEER Joint Venture,,PScript5.dll Version 5.2,,,,,,,,,,,,,,,,,Earthquake Engineering,,,,,,,,.,,uuid:009760ef-8c66-4419-b46b-f265fbb10b86,,,,,Standard V4.4 (128-bit),,,12.70,,,,2024:04:16 13:26:02-04:00,2024:04:16 13:26:06-04:00,2024:04:16 13:26:06-04:00,03-SP03Part1.pdf,-rw-r--r--,35 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,uuid:db5ae0d1-d23a-4ed2-825a-fdfbce4017bd,,,,,,,"The Recommended Guidelines consist of specifications, commentary, and appendices developed to be compatible with the existing load-and-resistance-factor design (LRFD) provisions for highway bridges published by AASHTO.  This two-volume set offers the Specifications in Part I and the Commentary and Appendices in Part II.  The new, updated provisions are nationally applicable and cover all seismic zones, as well as all bridge construction types and materials.  They reflect the latest design philosophies and approaches that will result in highway bridges with a high level of seismic performance.  This report contains numerous innovative and updated requirements and procedures, including: state-of-knowledge seismic hazard maps developed by the USGS, recommended design earthquakes and performance objectives, guidance on assessment of liquefaction and design solutions, new soil factors and spectral shapes, seismic design requirements for steel bridges, “no analysis” design concepts, some seismic resisting systems and elements not permitted in the current AASHTO provisions, capacity spectrum design procedures, displacement capacity verification (“Pushover”) analysis, and cost comparisons and implications.  Equations, figures, and tables appear throughout this report.",,,,No,,,,,,,,,,,,,,,,,2019:09:10 14:05:36-04:00,,application/pdf,,,2019:09:10 14:05:36-04:00,,,,,,,186,,,,,,,,,,1.6,,,,,,,Acrobat Distiller 5.0 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Recommended Guidelines consist of specifications, commentary, and appendices developed to be compatible with the existing load-and-resistance-factor design (LRFD) provisions for highway bridges published by AASHTO., This two-volume set offers the Specifications in Part I and the Commentary and Appendices in Part II., The new, updated provisions are nationally applicable and cover all seismic zones, as well as all bridge construction types and materials., They reflect the latest design philosophies and approaches that will result in highway bridges with a high level of seismic performance., This report contains numerous innovative and updated requirements and procedures, including: state-of-knowledge seismic hazard maps developed by the USGS, recommended design earthquakes and performance objectives, guidance on assessment of liquefaction and design solutions, new soil factors and spectral shapes, seismic design requirements for steel bridges, no analysis, design concepts, some seismic resisting systems and elements not permitted in the current AASHTO provisions, capacity spectrum design procedures, displacement capacity verification (“Pushover”) analysis, and cost comparisons and implications., Equations, figures, and tables appear throughout this report.",,,,,,,,"Recommended LRFD Guidelines for the Seismic Design of Highway Bridges, Part I: Specifications.",,,,,,"Print, Extract, Print high-res",,,,,,,,,,,,,,,,"Adobe XMP Core 5.6-c016 91.163616, 2018/10/29-16:58:49        "
04_Activity_2_Solution.pdf,,,,,,,,Carl Lund,,,,,,,"Not Embedded, Independent",GRAY,,,,,0.9642 1 0.82491,,,,,,2014:03:31 20:18:28Z,,Pages,,,,,,,,,,,,,,,,,,,,,,"Reflective, Glossy, Positive, Color",none,,,,.,,,,,,,,,,12.70,,,,2024:04:16 13:26:50-04:00,2024:04:16 13:26:50-04:00,2024:04:16 13:26:50-04:00,04_Activity_2_Solution.pdf,-rw-r--r--,435 kB,PDF,pdf,,,,,"(Binary data 14 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,0.95045 1 1.08905,,,application/pdf,,,2014:03:31 20:18:28Z,,,,,,,7,,,,,,,,,,1.3,,,,Apple Computer Inc.,,,Mac OS X 10.9.2 Quartz PDFContext,,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright 2007 Apple Inc., all rights reserved.",Apple Computer Inc.,2000:02:14 12:00:00,Generic Gray Profile,Generic Gray Profile,ملف تعريف Gray العام,Perfil de gris genèric,Obecný šedý profil,Generel gråtonebeskrivelse,Allgemeines Graustufen-Profil,Γενικό προφίλ γκρι,Perfil gris genérico,Yleinen harmaaprofiili,Profil générique gris,פרופיל Gray כללי,Generički profil sivih tonova,Általános szürke profil,Profilo grigio generico,一般グレイプロファイル,일반 Gray 프로파일,Generisk gråtoneprofil,Algemeen grijsprofiel,Uniwersalny profil szarości,Perfil Cinza Genérico,Perfil genérico de cinzentos,Profil gri generic,Общий серый профиль,Všeobecný sivý profil,Generisk gråskaleprofil,โปรไฟล์สีเทาทั่วไป,Genel Gri Profili,Загальний профайл Gray,普通灰度描述文件,通用灰階色彩描述,acsp,0,2.2.0,,,,,,,,Perceptual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_Activity_2_Solution,,,,,,,,,,,,,,,,,,,,,,
06-0001.pdf,uuid:aaca2b48-c40f-11da-9ea5-000a95963200,,,,,,,Andrew,,,,,,,,,,,,,,,,,,,2005:12:30 00:20:24-05:00,,Andrew,,PScript5.dll Version 5.2.2,,,,,,,,,,,,,,,,,,,,,,,,,.,,uuid:11a35da9-f444-4835-be40-21bad4c7421e,,,,,,,,12.70,,,,2024:04:16 13:27:03-04:00,2024:04:16 13:27:03-04:00,2024:04:16 13:27:03-04:00,06-0001.pdf,-rw-r--r--,5.3 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2006:04:04 15:17:32-04:00,,application/pdf,,,2006:04:04 15:17:32-04:00,,,,,,,256,,,,,,,,,,1.5,,,,,,,Acrobat Distiller 6.0.1 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 02 ABSTRACT.doc,,,,,,,,,,,,,,,,,,,,,,"XMP toolkit 2.9.1-14, framework 1.6"
08-0013.pdf,,,,,,,,"A. Filiatrault, A. Wanitkorkul and M.C. Constantinou",,,,,,,,,,,,,,,,,,,2008:11:12 16:09:29-05:00,,"A. Filiatrault, A. Wanitkorkul and M.C. Constantinou",,PScript5.dll Version 5.2.2,,,,,,,,,,,,,,,,,,,,,,,,,.,,uuid:0a3223fa-7333-4aed-bb34-31785821cc86,,,,,Standard V4.4 (128-bit),,,12.70,,,,2024:04:16 13:26:00-04:00,2024:04:16 13:26:01-04:00,2024:04:16 13:26:01-04:00,08-0013.pdf,-rw-r--r--,3.2 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,uuid:9d3f19eb-c85e-4bdc-bf34-3562522929e1,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2009:05:27 11:53:01-04:00,,application/pdf,,,2009:05:27 11:53:01-04:00,,,,,,,142,,,,,,,,,,1.6,,,,,,,Acrobat Distiller 8.1.0 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development and Appraisal of a Numerical Cyclic Loading Protocol for Quantifying Building System Performance,,,,,,"Print, Extract",,,,,,,,,,,,,,,,"Adobe XMP Core 4.2.1-c043 52.372728, 2009/01/18-15:08:04        "
10-0006.pdf,,,,,,,,"C.S. Renschler, A.E. Frazier, L.A. Arendt, G.P. Cimellaro, A.M. Reinhorn and M. Bruneau",,,,,,,,,,,,,,,,,,,2010:11:17 16:12:20-05:00,,"C.S. Renschler, A.E. Frazier, L.A. Arendt, G.P. Cimellaro, A.M. Reinhorn and M. Bruneau",,PScript5.dll Version 5.2.2,,,,,,,,,,,,,,,,,earthquakes,,,,,,,,.,,uuid:8c6a4b80-e352-4751-8659-60e3a3162e43,,,,,Standard V4.4 (128-bit),,,12.70,,,,2024:04:16 13:26:10-04:00,2024:04:16 13:26:11-04:00,2024:04:16 13:26:11-04:00,10-0006.pdf,-rw-r--r--,10 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,uuid:b22caa6c-05b5-432a-a027-55ef0fd85f71,,,,,,,"PEOPLES, Resilience, Framework., Disaster-resilient, communities., Measurements., Population., Demographics., Environmental, systems., Ecosystems., Organized, governmental, services., Physical, infrastructure., Economic, development., Social-cultural, capital., Vulnerability, assessments",,,,No,,,,,,,,,,,,,,,,,2016:01:06 16:38:47-05:00,,application/pdf,,,2016:01:06 16:38:47-05:00,,,,,,,110,,,,,,,,,,1.6,,,,,,,Acrobat Distiller 8.1.0 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEOPLES Resilience Framework. Disaster-resilient communities. Measurements. Population. Demographics. Environmental systems. Ecosystems. Organized governmental services. Physical infrastructure. Economic development. Social-cultural capital. Vulnerability assessments,,,,,,,,A Framework for Defining and Measuring Resilience at the Community Scale: The PEOPLES Resilience Framework,,,,,,"Print, Extract, Print high-res",,,,,,,,,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
102.pdf,,,,,,,,American Medical Association,,,,,,,,,,,,,,,,,,,2020:03:25 08:15:31Z,,American Medical Association,,XPP,,,,,,,,,,Learner Driver Experience and Teenagers’ Crash Risk During the First Year of Independent Driving,,,,,,,,,,,,,,,.,,,,,,,,,,12.70,,,,2024:04:16 13:26:36-04:00,2024:04:16 13:26:36-04:00,2024:04:16 13:26:36-04:00,102.pdf,-rw-r--r--,326 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The, JAMA, Network",,,,No,,,,,,,,,,,,,,,,,,,application/pdf,,,2020:03:25 08:15:31Z,,,,,,,8,,,,,,,UseNone,,,1.4,,,,,,,Aspose.Pdf for .NET 8.3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learner Driver Experience and Teenagers’ Crash Risk During the First Year of Independent Driving,,,,,,,,,,,,,,,,,,,,,,"Adobe XMP Core 4.2.1-c043 52.372728, 2009/01/18-13:18:53        "
11-0004.pdf,,,,,,,,jestoyle,,,,,,,,,,,,,,,,,,,2011:10:19 11:37:20-04:00,,jestoyle,,PScript5.dll Version 5.2.2,,,,,,,,,,,,,,,,,,,,,,,,,.,,uuid:a168ba9a-1949-43ba-9ae1-cff3d308b4a7,,,,,Standard V2.3 (128-bit),,,12.70,,,,2024:04:16 13:26:01-04:00,2024:04:16 13:26:02-04:00,2024:04:16 13:26:02-04:00,11-0004.pdf,-rw-r--r--,10 MB,PDF,pdf,,application/pdf,,,,,,,,No,,,,,,,,,,,,uuid:e5cd37f3-4099-49d9-9176-cfb09ea4abf2,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,2011:12:21 15:44:01-05:00,,application/pdf,,,2011:12:21 15:44:01-05:00,,,,,,,436,,,,,,,,,,1.6,,,,,,,Acrobat Distiller 8.1.0 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 11-0004.doc,,,,,,"Print, Extract, Print high-res",,,,,,,,,,,,,,,,"Adobe XMP Core 4.0-c316 44.253921, Sun Oct 01 2006 17:14:39"
