SourceFile,BlueMatrixColumn,BlueTRC,CMMFlags,ColorSpaceData,ConnectionSpaceIlluminant,CreateDate,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,Error,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GreenMatrixColumn,GreenTRC,HasXFA,HistoryAction,HistoryChanged,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Language,Linearized,Luminance,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEType,ModifyDate,OriginalDocumentID,PageCount,PDFVersion,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,TaggedPDF,Technology,Trapped,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,XMPToolkit
135454-flyer.pdf,,,,,,2017:12:11 13:12:08-07:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:54-04:00,2024:04:17 16:56:54-04:00,2024:04:17 16:56:54-04:00,135454-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2017:12:11 13:12:08-07:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
135985-flyer.pdf,,,,,,2017:12:13 17:48:11-07:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:27-04:00,2024:04:17 16:54:27-04:00,2024:04:17 16:54:27-04:00,135985-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2017:12:13 17:48:11-07:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
136596-flyer.pdf,,,,,,2017:12:18 20:12:07-07:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:33-04:00,2024:04:17 16:54:34-04:00,2024:04:17 16:54:34-04:00,136596-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2017:12:18 20:12:07-07:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
137967-flyer.pdf,,,,,,2018:01:08 12:12:02-07:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:14-04:00,2024:04:17 16:57:14-04:00,2024:04:17 16:57:14-04:00,137967-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:01:08 12:12:02-07:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
145626-wideflyer.pdf,,,,,,2018:01:24 07:54:22-07:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:52:53-04:00,2024:04:17 16:52:53-04:00,2024:04:17 16:52:53-04:00,145626-wideflyer.pdf,-rw-r--r--,658 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:01:24 07:54:22-07:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
159636-flyer.pdf,,,,,,2018:03:07 13:32:08-07:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:55:11-04:00,2024:04:17 16:55:12-04:00,2024:04:17 16:55:12-04:00,159636-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:03:07 13:32:08-07:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
162433-flyer.pdf,,,,,,2018:03:19 14:12:21-06:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:46-04:00,2024:04:17 16:56:47-04:00,2024:04:17 16:56:47-04:00,162433-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:03:19 14:12:21-06:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
167331-flyer.pdf,,,,,,2018:04:16 14:16:07-06:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:55:43-04:00,2024:04:17 16:55:43-04:00,2024:04:17 16:55:43-04:00,167331-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:04:16 14:16:07-06:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
170606-flyer.pdf,,,,,,2018:05:14 09:40:11-06:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:23-04:00,2024:04:17 16:56:26-04:00,2024:04:17 16:56:26-04:00,170606-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:05:14 09:40:11-06:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
174754-flyer.pdf,,,,,,2018:06:22 08:52:02-06:00,DOMPDF,,,,,,,,,,,.,,,12.70,2024:04:17 16:55:18-04:00,2024:04:17 16:55:19-04:00,2024:04:17 16:55:19-04:00,174754-flyer.pdf,-rw-r--r--,815 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2018:06:22 08:52:02-06:00,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,
