SourceFile,About,AppleKeywords,Author,Comments,Company,Created,CreateDate,CreationDate,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,Directory,DocChangeCount,DocumentID,Encryption,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,HasXFA,Headline,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Keywords,Language,LastSaved,Linearized,ManifestLinkForm,ManifestPlacedResolutionUnit,ManifestPlacedXResolution,ManifestPlacedYResolution,ManifestReferenceDocumentID,ManifestReferenceInstanceID,MetadataDate,MIMEType,ModDate,ModifyDate,OriginalDocumentID,PageCount,PageLayout,PageMode,PDFVersion,Producer,RenditionClass,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugKerningChecksum,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,SourceModified,State,Subject,TaggedPDF,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,UserAccess,Version,Warning,XMPToolkit
2004_Annual_Report.pdf,uuid:47f8c7e6-c230-11d9-b698-003065e57c76,,,,,,2005:05:10 15:46:10Z,,,,,,,,,.,,uuid:e0e762c7-c16a-11d9-8357-003065e57c76,,10.80,2024:04:18 13:23:44-04:00,2024:04:18 13:23:44-04:00,2024:04:18 13:23:44-04:00,2004_Annual_Report.pdf,rw-r--r--,2.9 MB,PDF,pdf,application/pdf,No,,,,,,,,,,,,No,,,,,,,2005:05:11 11:21:00-04:00,application/pdf,,2005:05:11 11:21:00-04:00,,54,,,1.5,Acrobat Distiller 6.0.1 for Macintosh,,,,,,,,,,,,,,,,,,,untitled,,,,,"XMP toolkit 2.9.1-13, framework 1.6"
2005_Proxy_Statement.pdf,,,JMITCHELL,,,,2005:05:09 15:17:14-04:00,2005:05:09 19:17:14Z,JMITCHELL,,,,,,,.,,,,10.80,2024:04:18 13:24:00-04:00,2024:04:18 13:24:00-04:00,2024:04:18 13:24:00-04:00,2005_Proxy_Statement.pdf,rw-r--r--,524 kB,PDF,pdf,,,,,,,,,,,,,,Yes,,,,,,,2005:05:09 19:17:14Z,application/pdf,2005:05:09 19:17:14Z,2005:05:09 15:17:25-03:00,,23,,UseNone,1.3,Acrobat Distiller 5.0 (Windows),,,,,,,,,,,,,,Yes,,,,,"DOLLAR TREE STORES, INC",,,,,
2007_Proxy_Statement.pdf,,,JMITCHELL,,,,2007:05:17 14:35:05Z,2007:05:17 14:35:05Z,JMITCHELL,,,,,,,.,,,,10.80,2024:04:18 13:24:00-04:00,2024:04:18 13:24:00-04:00,2024:04:18 13:24:00-04:00,2007_Proxy_Statement.pdf,rw-r--r--,1742 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,2007:05:17 14:21:46-04:00,application/pdf,2007:05:17 14:21:46-04:00,2007:05:17 14:21:46-04:00,,43,,UseNone,1.4,Acrobat Distiller 5.0.5 (Windows),,,,,,,,,,,,,,Yes,,,,,"DOLLAR TREE STORES, INC",,,,,
2008-05-08_Dollar_Tree_Reports_First_Quarter_Sales_of_1_051_213.pdf,,,,,,,2024:03:11 11:51:31-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:39-04:00,2024:04:18 13:23:39-04:00,2024:04:18 13:23:39-04:00,2008-05-08_Dollar_Tree_Reports_First_Quarter_Sales_of_1_051_213.pdf,rw-r--r--,41 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,Dollar Tree Reports First-Quarter Sales of $1.051 Billion,,,,,
2008-05-28_Dollar_Tree_Inc_Reports_First_Quarter_Net_212.pdf,,,,,,,2024:03:11 11:51:30-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:19-04:00,2024:04:18 13:23:19-04:00,2024:04:18 13:23:19-04:00,2008-05-28_Dollar_Tree_Inc_Reports_First_Quarter_Net_212.pdf,rw-r--r--,60 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,4,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports First Quarter Net Earnings per Diluted Share of $0.48",,,,,
2008-08-27_Dollar_Tree_Inc_Reports_27_3_Increase_in_Earnings__210.pdf,,,,,,,2024:03:11 11:51:29-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:15-04:00,2024:04:18 13:23:15-04:00,2024:04:18 13:23:15-04:00,2008-08-27_Dollar_Tree_Inc_Reports_27_3_Increase_in_Earnings__210.pdf,rw-r--r--,60 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,5,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports 27.3% Increase in Earnings Per Share",,,,,
2008-11-06_Dollar_Tree_Third_Quarter_Sales_Increase_11_6__208.pdf,,,,,,,2024:03:11 11:51:27-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:37-04:00,2024:04:18 13:23:37-04:00,2024:04:18 13:23:37-04:00,2008-11-06_Dollar_Tree_Third_Quarter_Sales_Increase_11_6__208.pdf,rw-r--r--,41 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,Dollar Tree Third Quarter Sales Increase 11.6%,,,,,
2008-11-25_Dollar_Tree_Inc_Reports_Third_Quarter_Net_207.pdf,,,,,,,2024:03:11 11:51:27-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:33-04:00,2024:04:18 13:23:33-04:00,2024:04:18 13:23:33-04:00,2008-11-25_Dollar_Tree_Inc_Reports_Third_Quarter_Net_207.pdf,rw-r--r--,61 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,5,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports Third Quarter Net Earnings Per Diluted Share of $0.47",,,,,
2009-02-05_Dollar_Tree_Reports_Fourth_Quarter_2008_Sales_of_206.pdf,,,,,,,2024:03:11 11:51:26-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:33-04:00,2024:04:18 13:23:34-04:00,2024:04:18 13:23:34-04:00,2009-02-05_Dollar_Tree_Reports_Fourth_Quarter_2008_Sales_of_206.pdf,rw-r--r--,48 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree Reports Fourth Quarter 2008 Sales of $1.39 Billion, Record Annual Sales of $4.64 Billion for Fiscal 2008",,,,,
2009-02-25_Dollar_Tree_Inc_Reports_Record_Earnings_Per_205.pdf,,,,,,,2024:03:11 11:51:25-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:29-04:00,2024:04:18 13:23:29-04:00,2024:04:18 13:23:29-04:00,2009-02-25_Dollar_Tree_Inc_Reports_Record_Earnings_Per_205.pdf,rw-r--r--,64 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,6,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports Record Earnings Per Share",,,,,
2009-05-07_Dollar_Tree_Reports_First_Quarter_Comparable_204.pdf,,,,,,,2024:03:11 11:51:25-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:37-04:00,2024:04:18 13:23:40-04:00,2024:04:18 13:23:40-04:00,2009-05-07_Dollar_Tree_Reports_First_Quarter_Comparable_204.pdf,rw-r--r--,46 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,Dollar Tree Reports First Quarter Comparable-Store Sales Increase of 9.2%,,,,,
2009-08-06_CORRECTING_and_REPLACING_Dollar_Tree_Inc_Reports_202.pdf,,,,,,,2024:03:11 11:51:23-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2009-08-06_CORRECTING_and_REPLACING_Dollar_Tree_Inc_Reports_202.pdf,rw-r--r--,49 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"CORRECTING and REPLACING Dollar Tree, Inc. Reports Second Quarter Sales of $1.22 Billion",,,,,
2009-11-05_Dollar_Tree_Third_Quarter_Comparable_Store_Sales_198.pdf,,,,,,,2024:03:11 11:51:21-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:39-04:00,2024:04:18 13:23:41-04:00,2024:04:18 13:23:41-04:00,2009-11-05_Dollar_Tree_Third_Quarter_Comparable_Store_Sales_198.pdf,rw-r--r--,46 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,Dollar Tree Third Quarter Comparable-Store Sales Increase 6.5%,,,,,
2009-11-24_Dollar_Tree_Inc_Reports_Record_Third_Quarter_197.pdf,,,,,,,2024:03:11 11:51:20-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:20-04:00,2024:04:18 13:23:20-04:00,2024:04:18 13:23:20-04:00,2009-11-24_Dollar_Tree_Inc_Reports_Record_Third_Quarter_197.pdf,rw-r--r--,60 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,5,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports Record Third Quarter Results",,,,,
2010-01-20_Dollar_Tree_Inc_Appoints_Conrad_M_Hall_as_a_New_196.pdf,,,,,,,2024:03:11 11:51:20-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:24:01-04:00,2024:04:18 13:24:01-04:00,2024:04:18 13:24:01-04:00,2010-01-20_Dollar_Tree_Inc_Appoints_Conrad_M_Hall_as_a_New_196.pdf,rw-r--r--,41 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Appoints Conrad M. Hall as a New Independent Director",,,,,
2010-02-04_Dollar_Tree_Reports_Fourth_Quarter_2009_Sales_of_195.pdf,,,,,,,2024:03:11 11:51:19-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:36-04:00,2024:04:18 13:23:36-04:00,2024:04:18 13:23:36-04:00,2010-02-04_Dollar_Tree_Reports_Fourth_Quarter_2009_Sales_of_195.pdf,rw-r--r--,47 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,Dollar Tree Reports Fourth Quarter 2009 Sales of $1.56 Billion,,,,,
2010-05-20_Dollar_Tree_Inc_Reports_First_Quarter_191.pdf,,,,,,,2024:03:11 11:51:16-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:15-04:00,2024:04:18 13:23:15-04:00,2024:04:18 13:23:15-04:00,2010-05-20_Dollar_Tree_Inc_Reports_First_Quarter_191.pdf,rw-r--r--,59 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,5,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports First Quarter Results",,,,,
2010-05-26_Dollar_Tree_Inc_Announces_3_for_2_Stock_190.pdf,,,,,,,2024:03:11 11:51:16-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:36-04:00,2024:04:18 13:23:36-04:00,2024:04:18 13:23:36-04:00,2010-05-26_Dollar_Tree_Inc_Announces_3_for_2_Stock_190.pdf,rw-r--r--,44 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Announces 3-for-2 Stock Split",,,,,
2010-06-21_Dollar_Tree_Inc_Board_Authorizes_500_Million_189.pdf,,,,,,,2024:03:11 11:51:15-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:40-04:00,2024:04:18 13:23:49-04:00,2024:04:18 13:23:49-04:00,2010-06-21_Dollar_Tree_Inc_Board_Authorizes_500_Million_189.pdf,rw-r--r--,44 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Board Authorizes $500 Million Share Repurchase Program",,,,,
