SourceFile,About,AccountMgr,ArtDirector,Author,Bleed,BoundingBox,Category,Client,Comments,Company,Conformance,ContainerVersion,ContentTypeId,Copywriter,CreateDate,CreationDate,Creator,CreatorSubTool,CreatorTool,CreatorVersion,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DerivedFromVersionID,Description,Directory,DocChangeCount,DocumentID,Encryption,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,For,Format,GTS_PDFXConformance,GTS_PDFXVersion,HasVisibleOverprint,HasVisibleTransparency,HasXFA,Headline,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,ImageHeight,ImageSize,ImageWidth,IngredientsDocumentID,IngredientsFilePath,IngredientsInstanceID,InstanceID,Keywords,Language,Linearized,Manager,ManifestLinkForm,ManifestPlacedResolutionUnit,ManifestPlacedXResolution,ManifestPlacedYResolution,ManifestReferenceDocumentID,ManifestReferenceFilePath,ManifestReferenceInstanceID,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,Megapixels,MetadataDate,MIMEType,ModDate,ModifyDate,NPages,OriginalDocumentID,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PageMode,Part,PDFVersion,PlateNames,Producer,Proofreader,RenditionClass,Safety,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugKerningChecksum,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,SourceModified,StartupProfile,StudioArtist,Subject,SwatchColorantA,SwatchColorantB,SwatchColorantBlack,SwatchColorantBlue,SwatchColorantCyan,SwatchColorantGray,SwatchColorantGreen,SwatchColorantL,SwatchColorantMagenta,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchColorantYellow,SwatchGroupName,SwatchGroupType,TaggedPDF,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,Trim,UserAccess,VersionID,XMPToolkit,XPressPrivate
01benefits.pdf,,,,,,,,,,,,,,,2009:05:06 17:20:25-07:00,,Adobe InDesign CS3 (5.0.3),,Adobe InDesign CS3 (5.0.3),,adobe:docid:indd:8062c78e-3827-11de-b720-9c2eb6a9fd0d,985e18c3-38d7-11de-b720-9c2eb6a9fd0d,,,,,.,,adobe:docid:indd:985e18c4-38d7-11de-b720-9c2eb6a9fd0d,,10.80,2024:04:18 13:15:52-04:00,2024:04:18 13:15:52-04:00,2024:04:18 13:15:52-04:00,01benefits.pdf,rw-r--r--,743 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:46c39964-4d33-534e-a50d-3fcfbb1e8708,,,Yes,,"ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream","Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches","300.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00","300.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00","uuid:19DF471100E711DE881787DC6A104737, uuid:366DBB3C380811DE92769291FDA3F2AC, uuid:6A581F19380911DE92769291FDA3F2AC, uuid:6A581F1F380911DE92769291FDA3F2AC, uuid:6A581F1B380911DE92769291FDA3F2AC, uuid:9DB64226381C11DE92769291FDA3F2AC, uuid:6A581F1D380911DE92769291FDA3F2AC, uuid:366DBB3E380811DE92769291FDA3F2AC, uuid:366DBB44380811DE92769291FDA3F2AC, uuid:366DBB42380811DE92769291FDA3F2AC, uuid:366DBB40380811DE92769291FDA3F2AC, uuid:6A581F17380911DE92769291FDA3F2AC",,"uuid:A92430AF38D211DEA973A315DE848D2F, uuid:e0d0d856-b701-4d77-9bfe-fe14a023548a, uuid:300c93e9-f0aa-4c47-b924-786f5956f91d, uuid:c0dedc0b-57f1-4ee8-aed5-e86d9c130315, uuid:d6f6abdf-04bc-4970-aa78-ea8ce9949a9b, uuid:aa590183-3f96-4d5e-b08f-86cb4b00090e, uuid:898f240a-6d9c-4279-8b7f-ae3d17a6b688, uuid:697da5bb-ee47-423f-ab5a-364f594af0ae, uuid:0a2833e1-47c3-446c-8085-12132387bc5c, uuid:c49a700f-155c-4490-b15f-c92a7cd5acc1, uuid:6780fa4f-e0a8-48f6-aae1-31d53550c0e1, uuid:fd48dd07-ad74-40cb-b8cd-7dbb5d9a3780",,,,,2009:08:24 16:12:49-07:00,application/pdf,,2009:08:24 16:12:49-07:00,,,5,,,,,,,,,1.6,,Adobe PDF Library 8.0,,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG,256,(Binary data 6551 bytes),256,,False,,,,"Adobe XMP Core 4.2.1-c041 52.342996, 2008/05/07-21:37:19        ",
12215648_AA00_201208281551.pdf,,,,Administrator,,,,,,,,,,,2012:08:28 15:51:20,,Microsoft® Office Word 2007,,,,,,,,,,.,,,,10.80,2024:04:18 13:16:14-04:00,2024:04:18 13:16:15-04:00,2024:04:18 13:16:15-04:00,12215648_AA00_201208281551.pdf,rw-r--r--,111 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-US,No,,,,,,,,,,,,,,application/pdf,,2012:08:28 15:51:20,,,5,,,,,,,,,1.5,,Microsoft® Office Word 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,C e r t i f i c a t e,,,,,,
12797.1.0.pdf,,,,,,,,,,,,,,,2008:08:07 12:59:02-07:00,,Adobe InDesign CS3 (5.0.2),,Adobe InDesign CS3 (5.0.2),,adobe:docid:indd:ab36dd58-cadb-11da-aae9-c76256d795b0,07751bc8-e012-11da-98fb-a64bc689d37f,,,,,.,,adobe:docid:indd:c42ddd4f-e29b-11da-a76a-acc373a1d884,Standard V2.3 (128-bit),10.80,2024:04:18 13:15:34-04:00,2024:04:18 13:15:34-04:00,2024:04:18 13:15:34-04:00,12797.1.0.pdf,rw-r--r--,801 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:30381a8e-7981-42df-8f6e-70bf6eb18d7d,,,Yes,,"ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream, ReferenceStream","Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches, Inches","72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00","72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00, 72.00","uuid:054A8FD0A5C9DC11A688B696C4627DAA, adobe:docid:photoshop:1aa4d3a2-f786-11d8-afc6-8e5d1bbb1217, uuid:054A8FD0A5C9DC11A688B696C4627DAA, uuid:545FAE035D11DD11A25CB38576DA9949, uuid:525FAE035D11DD11A25CB38576DA9949, uuid:E3C679DFADC9DC11A688B696C4627DAA, uuid:915A73E8AEC9DC11A688B696C4627DAA, uuid:8CACF2CA105FDD11BF43DF143ACC4878, uuid:C10DD969CB9F11DA9991E95341BB3509, uuid:C10DD965CB9F11DA9991E95341BB3509, uuid:C10DD965CB9F11DA9991E95341BB3509, adobe:docid:photoshop:c1324264-acc2-11dc-8c9c-99c417010074, uuid:4C5FAE035D11DD11A25CB38576DA9949, adobe:docid:photoshop:1aa4d3a2-f786-11d8-afc6-8e5d1bbb1217",,"uuid:5FF0B64D34AA11DD9E0AA1EA522422F4, uuid:faa2a555-515e-11d9-bfbb-d7568ecddeab, uuid:5FF0B64D34AA11DD9E0AA1EA522422F4, uuid:1d7ee972-611b-b04e-9d63-08603293eef8, uuid:f52831c4-ef3d-094f-bcc1-268b92120ba2, uuid:D18669C134AA11DD9E0AA1EA522422F4, uuid:4B446EC334A911DD9E67C1DFE0EBDBB4, uuid:8DACF2CA105FDD11BF43DF143ACC4878, uuid:66b9de80-ca48-11da-aba8-0003938c1658, uuid:41b792fa-ca48-11da-aba8-0003938c1658, uuid:41b792fa-ca48-11da-aba8-0003938c1658, uuid:f039ddee-b177-11dc-b590-c6772b0ca784, uuid:a00209ab-c867-fc40-88bf-5ed843442a6a, uuid:faa2a555-515e-11d9-bfbb-d7568ecddeab",,,,,2009:02:17 17:09:36-08:00,application/pdf,,2009:02:17 17:09:36-08:00,,,12,,,,,,,,,1.6,,Adobe PDF Library 8.0,,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,JPEG,256,(Binary data 8888 bytes),256,,False,,"Print, Extract, Print high-res",,3.1-701,
12971.1.0.pdf,,,,,,,,,,,,,,,2005:01:21 18:03:39Z,,"
            ",,FrameMaker 6.0,,,,,,,,.,,uuid:222538ba-a8d3-4305-a2b6-ca07da5a3067,Standard V2.3 (128-bit),10.80,2024:04:18 13:15:37-04:00,2024:04:18 13:15:37-04:00,2024:04:18 13:15:37-04:00,12971.1.0.pdf,rw-r--r--,500 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:c8db9c60-055e-4a7c-863d-1b586c812816,,,Yes,,,,,,,,,,,,,2006:04:06 15:33:39-07:00,application/pdf,,2006:04:06 15:33:39-07:00,,,24,,,,,,,,,1.6,,Acrobat Distiller 4.05 for Macintosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Print, Extract, Print high-res",,3.1-701,
13162.1.0.pdf,,,,,,,,,,,,,,,2003:07:10 15:51:02Z,,"
            ",,FrameMaker 6.0,,,,,,,,.,,uuid:b23ac8c6-816f-466d-a277-fa44f401a0b7,Standard V2.3 (128-bit),10.80,2024:04:18 13:15:35-04:00,2024:04:18 13:15:35-04:00,2024:04:18 13:15:35-04:00,13162.1.0.pdf,rw-r--r--,1082 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:fe1d11a4-8955-4189-bd02-12129c94fa86,,,Yes,,,,,,,,,,,,,2006:04:06 14:15:06-07:00,application/pdf,,2006:04:06 14:15:06-07:00,,,38,,,,,,,,,1.6,,Acrobat Distiller 5.00 for Macintosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Print, Extract, Print high-res",,3.1-701,
13360.1.0.pdf,,,,,,,,,,,,,,,2006:04:06 11:57:34-07:00,,Adobe Acrobat 7.0,,Adobe Acrobat 7.0,,,,,,,,.,,uuid:75b36e90-b8b6-46d5-97b8-e9e416fea7b3,Standard V2.3 (128-bit),10.80,2024:04:18 13:15:36-04:00,2024:04:18 13:15:36-04:00,2024:04:18 13:15:36-04:00,13360.1.0.pdf,rw-r--r--,759 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:dea06e5c-dce1-4206-aefb-0036c159a932,,,Yes,,,,,,,,,,,,,2009:03:17 10:02:27-07:00,application/pdf,,2009:03:17 10:02:27-07:00,,,2,,,,,,,,,1.6,,Acrobat Distiller 4.0 for Macintosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Print, Extract, Print high-res",,3.1-701,
13483.1.0.pdf,uuid:8158d5e1-0581-46d1-b288-682dcb76b364,,,Lisa,,,,,,,,,,,2006:02:09 11:12:30Z,,Lisa,,FrameMaker 7.0,,,,,,,,.,,uuid:ec256fe4-de8f-44c6-a8b5-f38b57a6cbfd,Standard V2.3 (128-bit),10.80,2024:04:18 13:15:35-04:00,2024:04:18 13:15:35-04:00,2024:04:18 13:15:35-04:00,13483.1.0.pdf,rw-r--r--,1336 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:7d57b213-d9fb-4a3e-89f7-1828df623051,,,Yes,,,,,,,,,,,,,2006:04:05 15:20:40-07:00,application/pdf,,2006:04:05 15:20:40-07:00,,,46,,,,,,,UseOutlines,,1.6,,Acrobat Distiller 6.0 (Windows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navigator Reference Guide.book,,,"Print, Extract, Print high-res",,3.1-702,
14186.1.0.pdf,,,,,,,,,,,,,,,2008:11:26 10:02:12-08:00,,,,,,,,,,,,.,,uuid:7e84d3a8-c9eb-3047-b122-1675abb1d4e4,,10.80,2024:04:18 13:16:10-04:00,2024:04:18 13:16:10-04:00,2024:04:18 13:16:10-04:00,14186.1.0.pdf,rw-r--r--,979 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,,,,,,,,,,,,,,uuid:3853e323-7f8e-f845-9763-77edc2cc7632,,,Yes,,,,,,,,,,,,,2008:11:26 10:15:22-08:00,application/pdf,,2008:11:26 10:15:22-08:00,,,2,,,,,,,,,1.4,,Acrobat Distiller 8.1.0 (Macintosh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untitled,,,,,"Adobe XMP Core 4.0-c316 44.253921, Sun Oct 01 2006 17:08:23",
14900.1.0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,10.80,2024:04:18 13:15:39-04:00,2024:04:18 13:15:39-04:00,2024:04:18 13:15:39-04:00,14900.1.0.pdf,rw-r--r--,237 bytes,HTML,html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302 Found,,,,,,
200a620-003174-003403gs-amr.pdf,,,,,,,,,,,,,,,2010:09:29 14:52:54-06:00,,Adobe Illustrator CS4,,Adobe Illustrator CS4,,,,,,,,.,,,Standard V2.3 (128-bit),10.80,2024:04:18 13:15:43-04:00,2024:04:18 13:15:53-04:00,2024:04:18 13:15:53-04:00,200a620-003174-003403gs-amr.pdf,rw-r--r--,1810 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,application/pdf,,2010:11:27 18:17:17+16:00,,,2,,,,,,,,,1.5,,Adobe PDF library 9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620-003187-003_Olympus-jr-getting-started-guide-AMR,,,"Print, Print high-res",,3.1-701,
