SourceFile,About,Author,Company,CreateDate,CreationDate,CreationDate--Text,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,Description,Directory,DocumentID,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GTS_PDFXConformance,GTS_PDFXVersion,HasXFA,InstanceID,Keywords,Language,Linearized,MetadataDate,MIMEType,ModDate,ModifyDate,PageCount,PageLayout,PageMode,PDFVersion,Producer,SourceModified,Subject,TaggedPDF,Title,Trapped,Warning,XMPToolkit,XPressPrivate
New%20Supplier%20Requirements%20on%20website%20for%20Potential%20Suppliers.pdf,,oreilly,,2022:11:09 14:00:10-06:00,,,Microsoft® Word 2013,,,,,.,,10.80,2024:04:18 13:15:07-04:00,2024:04:18 13:15:08-04:00,2024:04:18 13:15:08-04:00,New%20Supplier%20Requirements%20on%20website%20for%20Potential%20Suppliers.pdf,rw-r--r--,386 kB,PDF,pdf,,,,,,,en-US,No,,application/pdf,,2022:11:09 14:00:10-06:00,3,,,1.5,Microsoft® Word 2013,,,Yes,,,,,
news_34.pdf,uuid:6b628378-8076-4dc5-b41f-27b292f0baf5,rjohnso2,,2005:09:01 16:49:40-05:00,,,rjohnso2,PScript5.dll Version 5.2,,,,.,uuid:425b215e-3b16-4956-ad08-a507b6c01f56,10.80,2024:04:18 13:14:25-04:00,2024:04:18 13:14:25-04:00,2024:04:18 13:14:25-04:00,news_34.pdf,rw-r--r--,30 kB,PDF,pdf,application/pdf,,,,,,,Yes,2005:09:01 16:50:19-05:00,application/pdf,,2005:09:01 16:50:19-05:00,1,,,1.3,Acrobat Distiller 6.0 (Windows),,,,Microsoft Word - Katrina Press Release 9012005.doc,,,"XMP toolkit 2.9.1-13, framework 1.6",
news_38.pdf,,Falk Harrison Creative,,2006:03:28 17:06:51Z,2006:03:28 17:06:51Z,,Falk Harrison Creative,QuarkXPress(R) 7.0,,,,.,uuid:3a09f0ba-beb2-11da-8514-00112472c722,10.80,2024:04:18 13:14:18-04:00,2024:04:18 13:14:18-04:00,2024:04:18 13:14:18-04:00,news_38.pdf,rw-r--r--,1997 kB,PDF,pdf,application/pdf,,,No,uuid:059e156e-beb8-11da-a7ac-00112472c722,,,No,2006:04:12 09:49:08-05:00,application/pdf,2006:04:12 09:49:08-05:00,2006:04:12 09:49:08-05:00,56,TwoColumnRight,,1.6,Acrobat Distiller 7.0.5 for Macintosh,,,,ORLY_05_narrative.qxd,,[Minor] Ignored duplicate Info dictionary,,"%%DocumentProcessColors: Cyan Magenta Yellow Black
%%EndComments"
news_44.pdf,,Falk Harrison Creative,,2007:03:22 13:23:52-05:00,,,Falk Harrison Creative,,uuid:7e04ef78-d882-11db-a715-00112472c722,uuid:1432d29d-d8a1-11db-9c46-00112472c722,,.,uuid:EBE6EA22DA0611DB8635B54D1EB913F4,10.80,2024:04:18 13:14:18-04:00,2024:04:18 13:14:19-04:00,2024:04:18 13:14:19-04:00,news_44.pdf,rw-r--r--,2.3 MB,PDF,pdf,application/pdf,PDF/X-1a:2001,PDF/X-1:2001,No,uuid:384abafc-d8b2-11db-9c46-00112472c722,,,No,2007:03:22 15:16:29-05:00,application/pdf,,2007:03:22 15:16:29-05:00,48,TwoColumnRight,,1.5,Acrobat Distiller 7.0.5 for Macintosh,,,,2006 OREILLY Annual Report,,[Minor] Ignored duplicate Info dictionary,3.1-701,"%%DocumentProcessColors: Cyan Magenta Yellow Black
%%MarksAllSeparations: true
%%EndComments"
news_49.pdf,,,,,,,,,,,,.,,10.80,2024:04:18 13:14:20-04:00,2024:04:18 13:14:20-04:00,2024:04:18 13:14:20-04:00,news_49.pdf,rw-r--r--,70 kB,PDF,pdf,,,,,,,,No,,application/pdf,,,2,,,1.3,GNU Ghostscript 6.52,,,,,,,,
news_4.pdf,,,,,,,,,,,,.,,10.80,2024:04:18 13:14:26-04:00,2024:04:18 13:14:26-04:00,2024:04:18 13:14:26-04:00,news_4.pdf,rw-r--r--,81 kB,PDF,pdf,,,,,,,,No,,application/pdf,,,1,,,1.3,GNU Ghostscript 6.52,,,,,,,,
news_64.pdf,,,,2008:03:13 14:11:07-05:00,,,,,,,,.,uuid:17ffdaba-1cb3-d147-95fd-ecd0520ec169,10.80,2024:04:18 13:14:17-04:00,2024:04:18 13:14:17-04:00,2024:04:18 13:14:17-04:00,news_64.pdf,rw-r--r--,2.7 MB,PDF,pdf,application/pdf,,,No,uuid:9eb02742-6d0c-c540-95fd-0c43885fa4e6,,,Yes,2008:03:13 14:11:07-05:00,application/pdf,,2008:03:13 14:11:07-05:00,52,TwoColumnRight,,1.5,,,,,,,,"Adobe XMP Core 4.0-c316 44.253921, Sun Oct 01 2006 17:08:23",
news_67.pdf,,,,,,,,,,,,.,,10.80,2024:04:18 13:14:19-04:00,2024:04:18 13:14:19-04:00,2024:04:18 13:14:19-04:00,news_67.pdf,rw-r--r--,90 kB,PDF,pdf,,,,,,,,No,,application/pdf,,,3,,,1.3,GNU Ghostscript 6.52,,,,,,,,
news_84.pdf,,aedwards5,,2008:11:05 17:50:30,,,PScript5.dll Version 5.2.2,,,,,.,,10.80,2024:04:18 13:14:26-04:00,2024:04:18 13:14:26-04:00,2024:04:18 13:14:26-04:00,news_84.pdf,rw-r--r--,157 kB,PDF,pdf,,,,,,,,No,,application/pdf,,2008:11:05 17:50:30,1,,,1.4,GPL Ghostscript 8.15,,,,Microsoft Word - 110508 NASCAR O'Reilly .doc,,,,
news_97.pdf,,mmerz,,2009:04:22 13:29:16,,,PScript5.dll Version 5.2.2,,,,,.,,10.80,2024:04:18 13:14:25-04:00,2024:04:18 13:14:25-04:00,2024:04:18 13:14:25-04:00,news_97.pdf,rw-r--r--,161 kB,PDF,pdf,,,,,,,,No,,application/pdf,,2009:04:22 13:29:16,1,,,1.4,GPL Ghostscript 8.15,,,,"Microsoft Word - 042009_Buy On-Line, Pick-Up In Store_v2",,,,
