SourceFile,Author,BoundingBox,ColorMode,ContainerVersion,CreateDate,Creator,CreatorSubTool,CreatorTool,CreatorVersion,DateCreated,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Directory,DocChangeCount,DocumentID,Encryption,Error,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,For,Format,GTS_PDFXConformance,GTS_PDFXVersion,HasVisibleOverprint,HasVisibleTransparency,HasXFA,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Language,Linearized,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MetadataDate,MIMEType,ModifyDate,NPages,OriginalDocumentID,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PageMode,PDFVersion,PlateNames,Producer,RenditionClass,StartupProfile,Subject,SwatchColorantA,SwatchColorantB,SwatchColorantBlack,SwatchColorantBlue,SwatchColorantCyan,SwatchColorantGreen,SwatchColorantL,SwatchColorantMagenta,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchColorantYellow,SwatchGroupName,SwatchGroupType,TaggedPDF,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,UserAccess,VersionID,Warning,XMPToolkit
10Ah_Regulatory_Insert.pdf,,,,,2018:01:16 19:01:37Z,Word,,,,,,,,,.,,,,,10.80,2024:04:18 13:11:37-04:00,2024:04:18 13:11:37-04:00,2024:04:18 13:11:37-04:00,10Ah_Regulatory_Insert.pdf,rw-r--r--,69 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,No,,,,,application/pdf,2018:01:16 19:01:37Z,,,1,,,,,,,,1.3,,Mac OS X 10.11.6 Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 10Ah Regulatory Insert.docx,,,,,
13628_OtterBox_2015_CDP_Textbook_HR_Trim.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:09-04:00,2024:04:18 13:11:09-04:00,2024:04:18 13:11:09-04:00,13628_OtterBox_2015_CDP_Textbook_HR_Trim.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151229_RVG_Symmetry_Digital_opt.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:09-04:00,2024:04:18 13:11:09-04:00,2024:04:18 13:11:09-04:00,151229_RVG_Symmetry_Digital_opt.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160422_RVG_uniVERSE_PRSocial_WebSpreads.compressed.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:12-04:00,2024:04:18 13:11:12-04:00,2024:04:18 13:11:12-04:00,160422_RVG_uniVERSE_PRSocial_WebSpreads.compressed.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171130-OBO-Soft-Coolers-Deck_PR-Final.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:17-04:00,2024:04:18 13:11:17-04:00,2024:04:18 13:11:17-04:00,171130-OBO-Soft-Coolers-Deck_PR-Final.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180227_OB_INS_Alpha%20Glass_Galaxy%20S9%20and%20S9%2B.pdf,,,,,2018:02:01 09:58:36-07:00,Adobe InDesign CC 13.0 (Macintosh),,Adobe InDesign CC 13.0 (Macintosh),,,xmp.did:6bf6fc78-ba79-4418-8593-13a95ac04445,xmp.iid:7c7c9e55-2fb9-4c84-ac65-e00304ffe6bd,xmp.did:8afa6913-5b4b-4572-84df-f0678e4674d3,default,.,,xmp.id:7c5c1862-45c5-4a02-aea9-efa121d2c3a6,,,10.80,2024:04:18 13:12:03-04:00,2024:04:18 13:12:03-04:00,2024:04:18 13:12:03-04:00,180227_OB_INS_Alpha%20Glass_Galaxy%20S9%20and%20S9%2B.pdf,rw-r--r--,179 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,No,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 13.0 (Macintosh),2018:02:01 09:58:36-07:00,uuid:6c5a7834-2a3e-7245-85c8-31b4af251f2a,en-US,Yes,,,,2018:03:06 23:07:27-07:00,application/pdf,2018:03:06 23:07:27-07:00,,xmp.did:8afa6913-5b4b-4572-84df-f0678e4674d3,5,,,,,,,,1.6,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,Yes,,,,,,False,,,,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        "
180315_OB_INS_Pursuit_Install-Guide.pdf,,,,,2018:03:16 12:38:04-06:00,Adobe InDesign CC 13.0 (Macintosh),,Adobe InDesign CC 13.0 (Macintosh),,,xmp.did:9574b0d2-9830-448d-bbae-1330996511c7,xmp.iid:c0c00551-2ec8-4ff7-b3c5-62d5639d3b4a,xmp.did:a3d70adc-dc25-4b87-b7f9-3cc3a6390495,default,.,,xmp.id:5016ffa8-8f17-4b04-a3cc-83373c525eec,,,10.80,2024:04:18 13:11:32-04:00,2024:04:18 13:11:32-04:00,2024:04:18 13:11:32-04:00,180315_OB_INS_Pursuit_Install-Guide.pdf,rw-r--r--,1564 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 13.0 (Macintosh),2018:03:16 12:38:04-06:00,uuid:ca3a5495-871c-194c-b0c6-37cb3c283598,en-US,Yes,,,,2018:03:16 12:38:21-06:00,application/pdf,2018:03:16 12:38:21-06:00,,xmp.did:a3d70adc-dc25-4b87-b7f9-3cc3a6390495,20,,,,,,,,1.4,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,Yes,,,,,,False,,,,"Adobe XMP Core 5.6-c143 79.161210, 2017/08/11-10:28:36        "
190906_OB_OtterSpotInstructionManual_v03.pdf,,,,,2019:10:15 10:47:02-06:00,Adobe InDesign 14.0 (Macintosh),,Adobe InDesign 14.0 (Macintosh),,,xmp.did:38eb9f2b-a59a-48fb-bcf0-45ff3cdb25c9,xmp.iid:bc6141f3-108e-4890-a256-4d7779d0f2d5,xmp.did:247ecfb0-227e-4b14-9ed4-c44e4c749591,default,.,,xmp.id:d24cedec-3097-4d1f-abeb-fab3a9b8260a,,,10.80,2024:04:18 13:11:19-04:00,2024:04:18 13:11:20-04:00,2024:04:18 13:11:20-04:00,190906_OB_OtterSpotInstructionManual_v03.pdf,rw-r--r--,1070 kB,PDF,pdf,,,,,,,,,application/pdf,PDF/X-1a:2001,PDF/X-1:2001,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 14.0 (Macintosh),2019:10:15 10:47:02-06:00,uuid:d9330947-471d-a74f-8362-d9fd5cee008b,en-US,No,,,,2019:10:15 10:47:06-06:00,application/pdf,2019:10:15 10:47:06-06:00,,xmp.did:247ecfb0-227e-4b14-9ed4-c44e4c749591,12,,,,,,,,1.3,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,190906_OB_SportsInstructionManual_E.indd,False,,1,,"Adobe XMP Core 5.6-c148 79.163765, 2019/01/24-18:11:46        "
20201013-Standard-Power-Bank-Quick-Start-Guide.pdf,,,,,2020:10:09 14:22:23-06:00,Adobe InDesign 15.1 (Macintosh),,Adobe InDesign 15.1 (Macintosh),,,xmp.did:3b780290-8346-4cc1-a6c3-501f72153975,xmp.iid:b058640d-7c68-4495-b716-31da1983a00b,xmp.did:3b780290-8346-4cc1-a6c3-501f72153975,default,.,,xmp.id:08aa672e-f8e5-4517-afe1-2b9a9d28ae79,,,10.80,2024:04:18 13:11:55-04:00,2024:04:18 13:11:56-04:00,2024:04:18 13:11:56-04:00,20201013-Standard-Power-Bank-Quick-Start-Guide.pdf,rw-r--r--,502 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign 15.1 (Macintosh),2020:10:09 14:22:23-06:00,uuid:350932cf-685c-4a4c-befe-10b2234bc715,ar-SA,Yes,,,,2020:10:09 14:22:24-06:00,application/pdf,2020:10:09 14:22:24-06:00,,xmp.did:3b780290-8346-4cc1-a6c3-501f72153975,12,,,,,,,,1.4,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,Yes,,,,,,False,,,,"Adobe XMP Core 6.0-c002 79.164460, 2020/05/12-16:04:17        "
20201013-Wireless-Charging-Pad-Quick-Start-Guide.pdf,,,,,2020:10:09 14:29:16-06:00,Adobe InDesign 15.1 (Macintosh),,Adobe InDesign 15.1 (Macintosh),,,xmp.did:554101af-2565-47cf-9bf8-133a138edac5,xmp.iid:2513a140-f30d-4a18-aff6-9e3fea59792c,xmp.did:554101af-2565-47cf-9bf8-133a138edac5,default,.,,xmp.id:dd0e95cb-6192-44ee-a331-6ce10494baf4,,,10.80,2024:04:18 13:11:57-04:00,2024:04:18 13:11:57-04:00,2024:04:18 13:11:57-04:00,20201013-Wireless-Charging-Pad-Quick-Start-Guide.pdf,rw-r--r--,735 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign 15.1 (Macintosh),2020:10:09 14:29:16-06:00,uuid:6dc5ec35-bafc-394f-bb8e-58a5961e7dbe,ar-SA,Yes,,,,2020:10:09 14:29:17-06:00,application/pdf,2020:10:09 14:29:17-06:00,,xmp.did:554101af-2565-47cf-9bf8-133a138edac5,7,,,,,,,,1.4,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,Yes,,,,,,False,,,,"Adobe XMP Core 6.0-c002 79.164460, 2020/05/12-16:04:17        "
