SourceFile,AIBuildNumber,AIColorModel,AIColorUsage,AICreatorVersion,AINumLayers,AIRulerUnits,AITargetResolution,AppleKeywords,Author,BlueMatrixColumn,BlueTRC,BoundingBox,ChromaticAdaptation,CMMFlags,ColorSpaceData,ConnectionSpaceIlluminant,ContainerVersion,CreateDate,Creator,CreatorContactInfo,CreatorSubTool,CreatorTool,CreatorVersion,DerivedFrom,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,Error,ExifToolVersion,Extracted,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,For,Format,GreenMatrixColumn,GreenTRC,HasVisibleOverprint,HasVisibleTransparency,HasXFA,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,ImageHeight,ImageSize,ImageWidth,IngredientsDocumentID,IngredientsFilePath,IngredientsInstanceID,InstanceID,Language,Linearized,LineCount,Luminance,ManifestLinkForm,ManifestReferenceDocumentID,ManifestReferenceFilePath,ManifestReferenceInstanceID,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,Megapixels,MetadataDate,MIMEEncoding,MIMEType,Modified,ModifyDate,Newlines,NPages,NumPages,OriginalDocumentID,PageCount,PageLayout,PageMode,PDFVersion,Physicalheightininches,Physicalwidthininches,PlateNames,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,PTEX_Fullbanner,RedMatrixColumn,RedTRC,Referrer,Refresh,RenderingIntent,RenditionClass,Sha1,Size,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugKerningChecksum,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,StartupProfile,Subject,SwatchColorantBlack,SwatchColorantBlue,SwatchColorantCyan,SwatchColorantGreen,SwatchColorantMagenta,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchColorantYellow,SwatchGroupName,SwatchGroupType,TaggedPDF,Technology,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Warning,WordCount,XMPToolkit
2018DesignYourCareerv1.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2017:08:31 14:51:36Z,Keynote,,,,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,12.70,,2024:04:16 13:52:02-04:00,2024:04:16 13:52:02-04:00,2024:04:16 13:52:02-04:00,2018DesignYourCareerv1.pdf,-rw-r--r--,104 kB,PDF,pdf,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,No,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,,,application/pdf,,2017:08:31 14:51:36Z,,,,,2,,,1.4,,,,Microsoft Corporation,Mac OS X 10.12.6 Quartz PDFContext,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,#DesignYourCareer_FINAL_1/8_BLEED,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,
2018-newfronts-partner-profiles_April-30.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2018:04:30 18:13:27.000Z,Keynote,,,Keynote,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,12.70,2018:04:30 18:28:42.502Z,2024:04:16 13:55:44-04:00,2024:04:16 13:55:45-04:00,2024:04:16 13:55:45-04:00,2018-newfronts-partner-profiles_April-30.pdf,-rw-r--r--,27 MB,PDF,pdf,,,,,,,,,application/pdf,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,Yes,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,2018:04:30 18:13:27.000Z,,application/pdf,2020:03:03 04:36:38.840Z,2018:04:30 18:13:27.000Z,,,4,,4,,,1.4,,,,Microsoft Corporation,Mac OS X 10.13.4 Quartz PDFContext,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,,4d5629877f0a6a0c6619cc77ea3c14d90474781d,27246178,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,"Adobe XMP Core 5.6-c148 79.164050, 2019/10/01-18:03:16        "
2018_Resume101.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2018:07:19 13:48:16-07:00,Adobe Illustrator CC 22.0 (Macintosh),,,Adobe Illustrator CC 22.0 (Macintosh),,,xmp.did:e04cb2ed-207e-4990-b47e-1b0eb3d28b9c,xmp.iid:e04cb2ed-207e-4990-b47e-1b0eb3d28b9c,xmp.did:2829d543-2f0a-48f4-abd5-a0f4a37b604b,proof:pdf,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,xmp.did:db44bbff-bb0c-4786-98ed-1a241f6f97e9,,12.70,,2024:04:16 13:52:05-04:00,2024:04:16 13:52:05-04:00,2024:04:16 13:52:05-04:00,2018_Resume101.pdf,-rw-r--r--,47 kB,PDF,pdf,"False, False, False","55 Roman, 56 Italic, 75 Bold","Helvetica Neue LT Pro, Helvetica Neue LT Pro, Helvetica Neue LT Pro","HelveticaNeueLTPro-55Roman.otf, HelveticaNeueLTPro-56Italic.otf, HelveticaNeueLTPro-75Bold.otf","HelveticaNeueLTPro-Roman, HelveticaNeueLTPro-It, HelveticaNeueLTPro-Bd","Open Type, Open Type, Open Type","Version 1.000;PS 001.000;Core 1.0.38, Version 1.000;PS 001.000;Core 1.0.38, Version 1.000;PS 001.000;Core 1.0.38",,application/pdf,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",False,False,,"saved, saved","/, /","xmp.iid:2829d543-2f0a-48f4-abd5-a0f4a37b604b, xmp.iid:db44bbff-bb0c-4786-98ed-1a241f6f97e9",,"Adobe Illustrator CC 22.0 (Macintosh), Adobe Illustrator CC 22.0 (Macintosh)","2018:07:18 11:19:39-07:00, 2018:07:19 13:48:14-07:00",,,,,,,uuid:6a354c88-b285-df40-9fc0-c70b4edbebbf,,No,,76.03647 80 87.12462,,,,,279.400000,Millimeters,215.900000,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,2018:07:19 13:48:16-07:00,,application/pdf,,2018:07:19 13:48:16-07:00,,1,,xmp.did:2829d543-2f0a-48f4-abd5-a0f4a37b604b,2,,,1.3,,,"Cyan, Magenta, Yellow, Black",Microsoft Corporation,Adobe PDF library 15.00,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,Default Swatch Group,0,,Cathode Ray Tube Display,JPEG,132,"(Binary data 12696 bytes, use -b option to extract)",256,V4_2018_Resume101,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,XMP Core 5.4.0
2018-retrospective-review.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,12.70,,2024:04:16 13:53:26-04:00,2024:04:16 13:53:26-04:00,2024:04:16 13:53:26-04:00,2018-retrospective-review.pdf,-rw-r--r--,850 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,application/pdf,,,,,,,26,,,1.5,,,,,Skia/PDF m73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018_Twitter_Lineup_Calendar_v2.pdf,,,,,,,,,,,,,,,,,,2018:04:24 12:16:12-07:00,Adobe InDesign CC 13.1 (Macintosh),,,Adobe InDesign CC 13.1 (Macintosh),,,xmp.did:e6105a81-1b46-4d89-b08d-da541ccd2801,xmp.iid:42b749ec-4f96-4588-8d77-7057be7868fc,xmp.did:195c31af-c5c2-4839-85dd-558b42fac363,default,,,,,,.,xmp.id:6420b22d-baea-4a65-8363-0cb9071c1fe4,,12.70,,2024:04:16 13:52:06-04:00,2024:04:16 13:52:06-04:00,2024:04:16 13:52:06-04:00,2018_Twitter_Lineup_Calendar_v2.pdf,-rw-r--r--,3.1 MB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 13.1 (Macintosh),2018:04:24 12:16:12-07:00,,,,,,,uuid:3e724b22-1ce3-cc4e-bc86-21a014a15cb6,en-US,Yes,,,,,,,,,,,,,,,,,,2018:04:24 12:16:27-07:00,,application/pdf,,2018:04:24 12:16:27-07:00,,,,xmp.did:195c31af-c5c2-4839-85dd-558b42fac363,13,,,1.7,,,,,Adobe PDF Library 15.0,,,,,,,,,,,,,,,,,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,"Adobe XMP Core 5.6-c143 79.161424, 2017/09/22-11:52:47        "
2019_Agency_Calendar_US_FINAL.pdf,,,,,,,,,,,,,,,,,,2018:12:05 12:10:49-08:00,Adobe InDesign CC 14.0 (Macintosh),,,Adobe InDesign CC 14.0 (Macintosh),,,xmp.did:ae63fb38-cd24-4ff7-a268-598e60ae4257,xmp.iid:989c6b50-ff6a-404d-98d4-bea839a67ca7,xmp.did:195c31af-c5c2-4839-85dd-558b42fac363,default,,,,,,.,xmp.id:a6aca321-532e-4a18-be5f-7cdcb5380e92,,12.70,,2024:04:16 13:51:50-04:00,2024:04:16 13:51:50-04:00,2024:04:16 13:51:50-04:00,2019_Agency_Calendar_US_FINAL.pdf,-rw-r--r--,10 MB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 14.0 (Macintosh),2018:12:05 12:10:49-08:00,,,,,,,uuid:e4483235-5c2c-8241-abb0-cffd81177e28,en-US,Yes,,,,,,,,,,,,,,,,,,2018:12:05 12:10:56-08:00,,application/pdf,,2018:12:05 12:10:56-08:00,,,,xmp.did:195c31af-c5c2-4839-85dd-558b42fac363,13,,,1.4,,,,,Adobe PDF Library 15.0,,,,,,,,,,,,,,,,,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,False,,,,,,,"Adobe XMP Core 5.6-c145 79.163499, 2018/08/13-16:40:22        "
2019NewFrontsPartnerAnnouncements.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2019:04:26 18:33:19.000Z,Keynote,,,Keynote,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,12.70,2019:04:30 00:35:05.113Z,2024:04:16 13:52:29-04:00,2024:04:16 13:52:30-04:00,2024:04:16 13:52:30-04:00,2019NewFrontsPartnerAnnouncements.pdf,-rw-r--r--,51 MB,PDF,pdf,,,,,,,,,application/pdf,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,Yes,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,2019:04:26 18:33:19.000Z,,application/pdf,2020:03:03 04:37:12.823Z,2019:04:26 18:33:19.000Z,,,2,,2,,,1.4,14.222222222222221,10.666666666666666,,Microsoft Corporation,Mac OS X 10.13.6 Quartz PDFContext,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,,17ee69c8c9d4609642bd13096b2a9f571939b5ce,51404894,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,"Adobe XMP Core 5.6-c148 79.164050, 2019/10/01-18:03:16        "
2020--DesignYourCareer.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2020:03:25 23:15:12Z,Keynote,,,,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,12.70,,2024:04:16 13:52:15-04:00,2024:04:16 13:52:16-04:00,2024:04:16 13:52:16-04:00,2020--DesignYourCareer.pdf,-rw-r--r--,95 kB,PDF,pdf,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,No,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,,,application/pdf,,2020:03:25 23:15:12Z,,,,,2,,,1.4,,,,Microsoft Corporation,Mac OS X 10.13.6 Quartz PDFContext,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,"2020 -DesignYourCareer ",,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,
2020-Internship-Program.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2019:07:31 16:23:08Z,Keynote,,,,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,12.70,,2024:04:16 13:52:42-04:00,2024:04:16 13:52:42-04:00,2024:04:16 13:52:42-04:00,2020-Internship-Program.pdf,-rw-r--r--,9.9 MB,PDF,pdf,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,No,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,,,application/pdf,,2019:07:31 16:23:08Z,,,,,1,,,1.4,,,,Microsoft Corporation,Mac OS X 10.13.6 Quartz PDFContext,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,,2020 Internship Program,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,
2021-Diversity-Programs.pdf,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,"Not Embedded, Independent","RGB ",0.9642 1 0.82491,,2020:09:29 19:16:36Z,Keynote,,,,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,.,,,12.70,,2024:04:16 13:52:37-04:00,2024:04:16 13:52:38-04:00,2024:04:16 13:52:38-04:00,2021-Diversity-Programs.pdf,-rw-r--r--,7.0 MB,PDF,pdf,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,No,,76.03647 80 87.12462,,,,,,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,,,application/pdf,,2020:09:29 19:16:36Z,,,,,1,,,1.4,,,,Microsoft Corporation,macOS Version 10.15.6 (Build 19G2021) Quartz PDFContext,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,acsp,0,2.1.0,,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",,,Perceptual,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Cathode Ray Tube Display,,,,,2021 Diversity Programs,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,
